Index,Title,Sentiment,Class,Entity1,Entity2,Entity3,Language
18,  Pierre Gasly: 2020 mein bisher bestes Jahr in der Formel 1  ,0.44411764705882345,Positive,Gasly,nan,nan,Germany
19,"  Sainz blickt auf McLaren-Jahre zurück: ""Mehr denn je Spaß am Rennfahren""  ",0.5187499999999999,Positive,Sainz,McLaren,nan,Germany
20,  Möglichen Sieg verloren: Wie Stroll sein Istanbul-Rennen im Nachhinein sieht  ,0.5076923076923077,Positive,Stroll,nan,nan,Germany
21,"  Russell: Durch Rad-an-Rad-Duelle mit Vettel ""drastisch verbessert""  ",0.37142857142857144,Positive,Russell,Vettel,nan,Germany
22,  Verstappen: Probleme mit dem RB16 in den Medien oft dramatisiert  ,0.05172413793103448,Neutral,Verstappen,nan,nan,Germany
23,  Fahrerkleidung in der Formel 1: So überlebte Grosjean den Bahrain-Crash  ,0.021739130434782605,Neutral,Grosjean,nan,nan,Germany
24,  Zak Brown: Wie McLaren mit Carlos Sainz umgegangen ist  ,0.6176470588235294,Positive,Sainz,McLaren,nan,Germany
25,"  AlphaTauri: Mehr Punkte als je zuvor, aber trotzdem nur WM-Siebter  ",0.4733333333333332,Positive,AlphaTauri,nan,nan,Germany
26,  Romain Grosjean erklärt: Darum habe ich Kwjat nicht gesehen  ,-0.11935483870967742,Negative,Grosjean,nan,nan,Germany
27,"  Nico Rosberg besorgt: Klimakrise die ""größte Bedrohung für die Menschheit""  ",0.584,Positive,nan,nan,nan,Germany
28,  Queen macht es offiziell: Lewis Hamilton ist jetzt ein Sir!  ,0.8352941176470589,Positive,Hamilton,nan,nan,Germany
29,  Programm für Silvester: Video-Jahresrückblick mit Surer & Wurz  ,0.48125,Positive,nan,nan,nan,Germany
30,"  Toto Wolff: Neues Motorenreglement bis Mitte 2022 ist ""machbar""  ",0.775,Positive,nan,nan,nan,Germany
31,  McLaren-Bromance: Sainz und Norris über das Geheimnis ihrer Freundschaft  ,0.5956521739130434,Positive,Sainz,Norris,McLaren,Germany
32,"  Helmut Marko exklusiv (3/3): Bottas ist in Bahrain ""Mist zusammengefahren""  ",0.3499999999999999,Positive,Bottas,nan,nan,Germany
33,"  Helmut Marko über Daniil Kwjat: ""Kein Thema mehr"" für Red Bull  ",0.2814814814814815,Positive,Red Bull,nan,nan,Germany
34,  Jos Verstappen: Le-Mans-Start mit Max nur wenn ich gut genug bin  ,0.7333333333333334,Positive,Verstappen,nan,nan,Germany
35,  Andreas Seidl: Warum 2020 für McLaren doppelt anstrengend war  ,0.6863636363636364,Positive,McLaren,nan,nan,Germany
36,  Sebastian Vettel: Die Welt sollte mehr auf Greta Thunberg hören  ,0.4166666666666666,Positive,Vettel,nan,nan,Germany
37,  Charles Leclerc: 2020 war meine bisher beste Saison in der Formel 1  ,0.5857142857142857,Positive,Leclerc,nan,nan,Germany
38,"  Helmut Marko exklusiv (1/3): Eigener Red-Bull-Motor ""bei 80, 85 Prozent""  ",0.27678571428571425,Positive,nan,nan,nan,Germany
39,  Helmut Marko: Daran ist Alexander Albon gescheitert  ,0.10952380952380951,Neutral,Albon,nan,nan,Germany
40,  McLaren-Juniorprogramm ohne Fahrer: Was Zak Brown anders macht  ,0.6799999999999999,Positive,McLaren,nan,nan,Germany
41,  George Russell: Mein Fahrstil hat mir im Mercedes geschadet  ,0.16785714285714284,Positive,Russell,Mercedes,nan,Germany
42,  Frank Williams am Heiligabend aus dem Krankenhaus entlassen  ,0.45999999999999996,Positive,Williams,nan,nan,Germany
43,  Teamchefs und Fahrer wählen Top-10-Piloten 2020  ,0.6714285714285715,Positive,nan,nan,nan,Germany
44,"  ""Bedeutsamer als sieben WM-Titel"": Ricciardos Geschenk an Hamilton  ",0.2454545454545454,Positive,Hamilton,Ricciardo,nan,Germany
45,  Donuts in Abu Dhabi: Killer für Getriebe und Motor?  ,0.29999999999999993,Positive,nan,nan,nan,Germany
46,"  Jean Todt: Mercedes' Dominanz ist größer, als unsere bei Ferrari je war  ",0.49,Positive,Mercedes,Ferrari,nan,Germany
47,"  Piquet jun. über Verstappen: Manchmal muss man arrogant sein, oder?  ",0.5153846153846154,Positive,Verstappen,nan,nan,Germany
48,  Wie mit Sainz: McLaren hofft auf regen Austausch zwischen Ricciardo und Norris  ,0.6785714285714285,Positive,Ricciardo,Sainz,Norris,Germany
49,"  Lewis Hamilton: F1-Strafen wie 2020 ""werden nicht wieder passieren""  ",-0.1826086956521739,Negative,Hamilton,nan,nan,Germany
50,  Pierre Gasly: 2020 war das aufregendste Jahr meiner Karriere  ,0.7062499999999999,Positive,Gasly,nan,nan,Germany
51,  Valtteri Bottas: Wie Pech seinen Formel-1-Titelkampf 2020 beeinträchtigt hat  ,-0.013513513513513492,Negative,Bottas,nan,nan,Germany
52,"  Andreas Seidl: Sainz hat bei McLaren alles gelernt, was er für Ferrari braucht  ",0.6461538461538462,Positive,Sainz,McLaren,Ferrari,Germany
53,"  Gerhard Berger: Vettels Abschiedslied war ""eine gute Geste""  ",0.5833333333333333,Positive,Vettel,nan,nan,Germany
54,  Valtteri Bottas plant erneute Teilnahme an der Lappland-Rallye  ,0.4869565217391304,Positive,Bottas,nan,nan,Germany
55,"  Hamilton in der WM-PK: ""Dankbar, dass wir Rennen fahren konnten""  ",0.5434782608695652,Positive,Hamilton,nan,nan,Germany
56,  Bewegendes Video: Racing Point schenkt Sergio Perez seinen Siegerpokal  ,0.49230769230769234,Positive,Perez,Racing Point,nan,Germany
57,  Sebastian Vettel: Wie ihm Hamilton über den Ferrari-Schock hinweggeholfen hat  ,0.39999999999999997,Positive,Hamilton,Vettel,Ferrari,Germany
58,  Der Formel-1-Samstag im Rückblick: Best of Social Media  ,0.3,Positive,nan,nan,nan,Germany
59,  Verstappen bei WM-PK: Wäre sowieso nicht Weltmeister geworden  ,0.5846153846153845,Positive,Verstappen,nan,nan,Germany
60,  Gänsehaut-Momente vor der Webcam: Das war die FIA-Gala 2020!  ,0.3916666666666665,Positive,nan,nan,nan,Germany
61,  Abu Dhabi: Warum war Mercedes im Qualifying langsamer als 2019?  ,0.3225806451612903,Positive,Mercedes,nan,nan,Germany
62,  Cyril Abiteboul gibt zu: Renault wird Daniel Ricciardo vermissen  ,0.4000000000000001,Positive,Ricciardo,Renault,nan,Germany
63,"  Nach Alonso-Demo im R25: Formel 1 sollte daraus lernen, findet Wolff  ",0.3965116279069767,Positive,nan,nan,nan,Germany
64,"  Ricciardo kritisiert: F1-Saisonfinale in Abu Dhabi wie ""ein langes Zeitfahren""  ",0.027586206896551703,Neutral,Ricciardo,nan,nan,Germany
65,  Warum Daniil Kwjat zum Saisonende hin immer besser wurde  ,0.2,Positive,nan,nan,nan,Germany
66,"  Bottas wieder WM-Zweiter: ""Kann nicht so zufriedenstellend sein""  ",0.45789473684210524,Positive,Bottas,nan,nan,Germany
67,  Nicholas Latifi bewertet erste Formel-1-Saison 2020 mit 8/10 Punkten  ,0.3275862068965517,Positive,Latifi,nan,nan,Germany
68,  Formel-1-Technik 2020: Letzter 2021er-Vortest in Abu Dhabi  ,0.3899999999999999,Positive,nan,nan,nan,Germany
69,"  Keine F1-Zeitenjagd: Haas ""sehr zufrieden"" mit Mick Schumacher  ",0.7184210526315788,Positive,Haas,nan,nan,Germany
70,  Kevin Magnussen rechnet nicht mit Rückkehr in die Formel 1  ,0.4444444444444444,Positive,Magnussen,nan,nan,Germany
71,  Spendenerfolg: McLaren sammelt fast halbe Million Euro für wohltätige Zwecke  ,0.6400000000000001,Positive,McLaren,nan,nan,Germany
72,"  Young-Driver-Test Abu Dhabi: ""Jungspund"" Alonso am schnellsten  ",0.5058823529411764,Positive,nan,nan,nan,Germany
73,"  Andreas Seidl: Was die F1 2020 geleistet hat, wird nicht genug gelobt  ",0.36538461538461536,Positive,nan,nan,nan,Germany
74,"  McLaren: Bei Platz drei geht es vor allem ""um das sportliche Prestige""  ",0.5466666666666666,Positive,McLaren,nan,nan,Germany
75,  MGU-K: Warum die Mercedes-Fahrer nicht Bescheid wussten  ,0.18378378378378377,Positive,Mercedes,nan,nan,Germany
76,  Wer fährt für welches Team beim Young-Driver-Test 2020?  ,0.09374999999999996,Neutral,nan,nan,nan,Germany
77,  Charles Leclerc: Andere Strategie hätte auch nichts geändert  ,0.38892857142857146,Positive,Leclerc,nan,nan,Germany
78,  TV-Quoten Abu Dhabi 2020: Vorjahreswerte überall übertroffen  ,0.1571428571428571,Positive,nan,nan,nan,Germany
79,"  Formel-1-Quoten 2020: Die Übersicht von Sky, RTL und ORF  ",0.3444444444444444,Positive,nan,nan,nan,Germany
80,"  George Russell: ""Gibt vieles, worauf wir stolz sein können""  ",0.40689655172413797,Positive,Russell,nan,nan,Germany
81,  Beinahe Mechaniker überfahren: Warum gab's dafür keine Strafe?  ,0.09375,Neutral,nan,nan,nan,Germany
82,  Die schnellsten Boxenstopps der Formel 1 2020  ,0.6272727272727273,Positive,nan,nan,nan,Germany
83,  Formel 1 2020: Fahrer des Tages  ,0.8555555555555556,Positive,nan,nan,nan,Germany
84,  Wer letzte Nacht am besten geschlafen hat: Mick Schumacher  ,0.4507246376811592,Positive,nan,nan,nan,Germany
85,  Formel 1 Abu Dhabi 2020: Die animierte Rundentabelle  ,0.0,Neutral,nan,nan,nan,Germany
86,"  Andreas Seidl: ""Stolz darauf, heute Teil des McLaren-Teams zu sein""  ",0.6018867924528299,Positive,McLaren,nan,nan,Germany
87,  MGU-K runtergedreht: Lewis Hamilton wusste von nichts  ,0.4461538461538461,Positive,Hamilton,nan,nan,Germany
88,"  Daniel Ricciardo: Ein Abschiedsrennen im ""Niemandsland""  ",0.6633333333333332,Positive,Ricciardo,nan,nan,Germany
89,"  Red Bull will Schwung für 2021 nutzen: ""Mercedes steht nicht still!""  ",0.3677419354838709,Positive,Red Bull,Mercedes,nan,Germany
90,  Toto Wolff: Positionstausch Bottas-Hamilton war kein Thema  ,0.4742424242424242,Positive,Hamilton,Bottas,nan,Germany
91,  Daniil Kwjat: Aus bei AlphaTauri wird am Dienstag besiegelt  ,0.5105263157894736,Positive,AlphaTauri,nan,nan,Germany
92,  Keine Strafe für Sainz nach vermeintlicher Boxen-Schleichfahrt  ,0.1870967741935484,Positive,Sainz,nan,nan,Germany
93,"  Albon verpasst Podium in Abu Dhabi knapp: ""Ich habe heute alles gegeben""  ",0.4445945945945945,Positive,Albon,nan,nan,Germany
94,"  Racing Point unterliegt McLaren: ""Viele verpasste Chancen""  ",0.2323529411764706,Positive,Racing Point,McLaren,nan,Germany
95,  Sonderpokal für Sebastian Vettel zum Ferrari-Abschied!  ,0.49666666666666665,Positive,Vettel,Ferrari,nan,Germany
96,"  Lewis Hamilton: ""Ich war noch nie so ausgelaugt!""  ",0.47045454545454546,Positive,Hamilton,nan,nan,Germany
97,"  Max Verstappen ""zu schnell"" für Mercedes in Abu Dhabi  ",0.59375,Positive,Verstappen,Mercedes,nan,Germany
98,  F1-Saisonfinale 2020: Fragen & Antworten zum Grand Prix von Abu Dhabi  ,0.33684210526315783,Positive,nan,nan,nan,Germany
99,"  Max Verstappen nach erster Pole 2020: ""Konnte sehr enge Linie fahren""  ",0.6874999999999999,Positive,Verstappen,nan,nan,Germany
100,  Fernando Alonso nach Demorun im R25: Genau das fehlt der Formel 1  ,0.5434782608695652,Positive,nan,nan,nan,Germany
101,  Daniil Kwjat: Im richtigen Auto kann ich um die WM kämpfen  ,0.5570175438596491,Positive,nan,nan,nan,Germany
102,  Formel 1 Abu Dhabi 2020: Das letzte Rennen des Jahres in der Chronologie  ,0.24418604651162787,Positive,nan,nan,nan,Germany
103,  Zum Ricciardo-Abschied: Versöhnliche Worte von Cyril Abiteboul  ,0.45,Positive,Ricciardo,nan,nan,Germany
104,  Zak Brown: Leider kann es auch noch WM-Platz fünf werden für McLaren ...  ,0.5476190476190476,Positive,McLaren,nan,nan,Germany
105,"  Sebastian Vettel: ""Es ist ganz offensichtlich ein Rätsel ...""  ",0.5636363636363636,Positive,Vettel,nan,nan,Germany
106,"  Trotz P5 und 0,325 Sekunden Rückstand: ""Bestes Qualifying"" für Alexander Albon  ",0.4280487804878048,Positive,Albon,nan,nan,Germany
107,"  Hamilton und der ""Schwarze Schwan"": Was Toto Wolff damit gemeint hat  ",0.19090909090909092,Positive,Hamilton,nan,nan,Germany
108,  Nach Aussprache mit Valtteri Bottas: Toto Wolff bestätigt Vertrag für 2021  ,0.28469387755102044,Positive,Bottas,nan,nan,Germany
109,  Lance Stroll pokert in Abu Dhabi: Alter Mercedes-Motor als Handicap  ,0.5230769230769231,Positive,Stroll,Mercedes,nan,Germany
110,  Valtteri Bottas: Wo er die 25 Tausendstelsekunden verloren hat  ,0.44761904761904747,Positive,Bottas,nan,nan,Germany
111,"  Hamilton-Start nicht in Gefahr, aber: ""Habe viel Gewicht verloren""  ",0.19666666666666668,Positive,Hamilton,nan,nan,Germany
112,"  Helmut Marko: ""Können das Rennen auch gewinnen""  ",0.7766666666666666,Positive,nan,nan,nan,Germany
113,"  Sergio Perez vor Aufholjagd: Frischer Motor bringt ""ein paar Zehntel""  ",0.46590909090909083,Positive,Perez,nan,nan,Germany
114,"  Renault ärgert sich über Q2-Aus: ""Wir müssen All-in gehen!""  ",0.35714285714285715,Positive,Renault,nan,nan,Germany
115,  Max Verstappen: Hand verklemmt im Formel-1-Qualifying!  ,0.44666666666666666,Positive,Verstappen,nan,nan,Germany
116,"  Andrew Shovlin gibt zu: Qualifying-Probleme für Mercedes ""überraschend""  ",0.2655172413793104,Positive,Mercedes,nan,nan,Germany
117,"  P4 da, Konkurrenz weit weg: ""Perfekter Samstag"" für McLaren  ",0.6578947368421052,Positive,McLaren,nan,nan,Germany
118,  Charles Leclerc: Q2 als Schlüssel zum Erfolg für Ferrari  ,0.2966666666666667,Positive,Leclerc,Ferrari,nan,Germany
119,"  Sebastian Vettel: ""Bin erleichtert, dass es zu Ende ist""  ",0.37307692307692303,Positive,Vettel,nan,nan,Germany
120,  Die Qualifying-Duelle der Formel-1-Saison 2020  ,0.39999999999999997,Positive,nan,nan,nan,Germany
121,  F1 Abu Dhabi 2020: Fragen & Antworten zum Qualifying  ,0.30833333333333324,Positive,nan,nan,nan,Germany
122,"  Red Bull: Entscheidung über Alexander Albons Schicksal ""in ein paar Tagen""  ",0.1730769230769231,Positive,Albon,Red Bull,nan,Germany
123,  F1 Abu Dhabi 2020: Hat Mercedes im dritten Freien Training geblufft?  ,0.17272727272727273,Positive,Mercedes,nan,nan,Germany
124,"  ""Danke, Seb"": Charles Leclerc fährt in Abu Dhabi mit Helm zu Vettels Ehren  ",0.2125,Positive,Leclerc,Vettel,nan,Germany
125,  Formel 1 Abu Dhabi 2020: Das letzte Qualifying des Jahres in der Chronologie  ,0.46404494382022476,Positive,nan,nan,nan,Germany
126,  100. Grand Prix für Haas in der F1: Worauf Günther Steiner stolz ist  ,0.32307692307692304,Positive,Haas,nan,nan,Germany
127,  2021er-Unterboden getestet: Vettel hilft bei Entwicklung des neuen Ferrari  ,0.44000000000000006,Positive,Vettel,Ferrari,nan,Germany
128,"  Günther Steiner: Mick Schumacher ""hat einen fantastischen Job gemacht""  ",0.345,Positive,nan,nan,nan,Germany
129,"  Ralf Schumacher: ""Bottas nächstes Jahr nicht mehr im Mercedes""  ",0.3857142857142858,Positive,Bottas,Mercedes,nan,Germany
130,"  ""Eigenartiges Gefühl"": George Russell berichtet von seiner Williams-Rückkehr  ",0.37999999999999995,Positive,Russell,Williams,nan,Germany
131,  Alfa Romeo in Flammen: Darum kam Räikkönen so langsam aus dem Auto  ,0.09333333333333331,Neutral,Alfa Romeo,nan,nan,Germany
132,"  Andreas Seidl: ""Haben größeren Sprung mit dem Soft erwartet""  ",0.7638888888888887,Positive,nan,nan,nan,Germany
133,"  Lewis Hamilton wieder da: ""Wie am ersten Schultag!""  ",0.444,Positive,Hamilton,nan,nan,Germany
134,  Formel-1-Technik: Was in Abu Dhabi für 2021 getestet wurde  ,0.5090909090909091,Positive,nan,nan,nan,Germany
135,  Warum Renault Fernando Alonso unbedingt testen wollte  ,0.5137931034482758,Positive,Renault,nan,nan,Germany
136,"  F1 Abu Dhabi: Hamilton Schnellster, aber Bestzeit für Bottas!  ",0.38958333333333317,Positive,Hamilton,Bottas,nan,Germany
137,  Mick Schumachers Debüt: Warum er schneller war und was noch besser geht  ,0.6277777777777778,Positive,nan,nan,nan,Germany
138,  Mercedes erklärt: Warum Bottas' Starts so schlecht ausgesehen haben  ,0.5666666666666667,Positive,Bottas,Mercedes,nan,Germany
139,"  Horner lobt Perez: Sieg in Bahrain war ""großartige Eigenwerbung""  ",0.65,Positive,Perez,nan,nan,Germany
140,  Abu Dhabi 2020: So lief das erste Formel-1-Training von Mick Schumacher!  ,0.3090909090909091,Positive,nan,nan,nan,Germany
141,  Romain Grosjean zeigt Grad seiner Verbrennungen auf Social Media  ,0.17272727272727273,Positive,Grosjean,nan,nan,Germany
142,  Haas: Kein Abschiedstest für Romain Grosjean möglich  ,0.7714285714285715,Positive,Grosjean,Haas,nan,Germany
143,"  Formel-1-Liveticker: George Russell ""kein Thema"" für Red Bull  ",0.3476190476190475,Positive,Russell,Red Bull,nan,Germany
144,  Max Verstappen: Suche mir meinen Teamkollegen nicht aus  ,0.43333333333333335,Positive,Verstappen,nan,nan,Germany
145,"  Toto Wolff über Bottas: ""Alles andere als einfach"", ""immens unter Druck""  ",0.3532258064516129,Positive,Bottas,nan,nan,Germany
146,  Magnussen: Kaum jemand auf eine Runde schneller als Grosjean  ,0.4448275862068965,Positive,Grosjean,Magnussen,nan,Germany
147,  Nicholas Latifi: Russell-Leistung im Mercedes lässt ihn besser aussehen  ,0.5583333333333333,Positive,Russell,Latifi,Mercedes,Germany
148,  Kampf um Platz drei: McLaren muss auf Probleme bei Racing Point hoffen  ,0.388235294117647,Positive,Racing Point,McLaren,nan,Germany
149,  Warum Lewis Hamilton nun doch beim Formel-1-Finale in Abu Dhabi fährt  ,0.07894736842105261,Neutral,Hamilton,nan,nan,Germany
150,"  Vettel über Young-Driver-Test: ""Dann müsste man es allen erlauben""  ",0.3045454545454545,Positive,Vettel,nan,nan,Germany
151,"  ""No Power"": Mercedes erklärt, warum George Russell so besorgt war  ",-0.11724137931034484,Negative,Russell,Mercedes,nan,Germany
152,"  Magnussen vor F1-Abschiedsrennen: ""Man sollte niemals nie sagen""  ",0.3461538461538461,Positive,Magnussen,nan,nan,Germany
153,  George Russell stellt klar: Bin für 2021 ein Williams-Fahrer  ,0.14761904761904765,Neutral,Russell,Williams,nan,Germany
154,"  Nach ""Missverständnis"": Was Pirelli beim Reifentest in Abu Dhabi ändern will  ",0.19736842105263164,Positive,nan,nan,nan,Germany
155,"  Max Verstappen: Wäre auch raus, wenn ich das Kiesbett gesehen hätte  ",-0.11034482758620687,Negative,Verstappen,nan,nan,Germany
156,  Showrun in Abu Dhabi: Fernando Alonso zurück am Steuer des Renault R25  ,0.22777777777777775,Positive,Renault,nan,nan,Germany
157,  Krank nach Italien: Ferrari in Abu Dhabi wieder ohne Mattia Binotto  ,0.7,Positive,Ferrari,nan,nan,Germany
158,  Warten auf Lewis Hamilton: Jack Aitken als Williams-Fahrer in FIA-PK  ,0.6285714285714286,Positive,Hamilton,Williams,nan,Germany
159,"  Mercedes-Boxenproblem gelöst? ""Haben die Köpfe rauchen lassen!""  ",0.01052631578947367,Neutral,Mercedes,nan,nan,Germany
160,  Dank ans Team: Mercedes fährt in Abu Dhabi mit Speziallackierung  ,0.42750000000000005,Positive,Mercedes,nan,nan,Germany
161,  Williams: George Russell in Sachir vermisst  ,0.4477272727272727,Positive,Russell,Williams,nan,Germany
162,  Valtteri Bottas: Ersten Matchball für Vize-WM-Titel nicht verwandelt  ,0.8333333333333333,Positive,Bottas,nan,nan,Germany
163,"  Toto Wolff: ""Wir wissen, wie gut Esteban Ocon ist""  ",0.5999999999999999,Positive,Ocon,nan,nan,Germany
164,  Entscheidung gefallen: Keine Sondererlaubnis für Sainz' Ferrari-Test  ,-0.3764705882352941,Negative,Sainz,Ferrari,nan,Germany
165,"  Mercedes-Renningenieur staunt: ""Wie Russell attackierte, war beeindruckend""  ",0.23199999999999993,Positive,Russell,Mercedes,nan,Germany
166,  George Russell passte nicht mal richtig ins Auto  ,0.532142857142857,Positive,Russell,nan,nan,Germany
167,"  Hamilton-Video aus der Quarantäne: ""Eine der härtesten Wochen""  ",0.4799999999999999,Positive,Hamilton,nan,nan,Germany
168,"  McLaren: Späte Safety-Car-Phase bremste Carlos Sainz ""auf der Jagd"" aus  ",0.24444444444444446,Positive,Sainz,McLaren,nan,Germany
169,"  Ricciardo ärgert sich: Hätten Perez in Sachir ""nicht gewinnen lassen dürfen""  ",0.31428571428571433,Positive,Perez,Ricciardo,nan,Germany
170,  Yuki Tsunoda für Young-Driver-Test mit AlphaTauri bestätigt  ,0.6799999999999999,Positive,AlphaTauri,nan,nan,Germany
171,"  Ralf Schumacher: ""Eigenartig"", was bei Ferrari mit Vettel passiert  ",0.1423076923076923,Neutral,Vettel,Ferrari,nan,Germany
172,  TV-Quoten Sachir 2020: Mehr Zuschauer zu späterer Stunde bei RTL und ORF  ,-0.16875,Negative,nan,nan,nan,Germany
173,"  Lawrence Strolls erster Sieg als Teameigentümer: ""Das war kein Glück""  ",0.573076923076923,Positive,Stroll,nan,nan,Germany
174,"  Toto Wolff: ""Ziemlich hässlich, was sich Lewis da eingetreten hat""  ",0.3275,Positive,nan,nan,nan,Germany
175,  F1 unter der Glasglocke: So streng sind die Corona-Regeln zum Saisonfinale  ,-0.29583333333333334,Negative,nan,nan,nan,Germany
176,  George Russell: Eltern mussten ihn am Telefon trösten  ,0.30588235294117644,Positive,Russell,nan,nan,Germany
177,"  #SagsMST Bahrain: Ist Lewis Hamilton ""austauschbar"" und ""überbezahlt""?  ",1.0,Positive,Hamilton,nan,nan,Germany
178,"  Ralf Schumacher: Bottas muss froh sein, dass er einen Vertrag hat!  ",-0.07307692307692308,Negative,Bottas,nan,nan,Germany
179,  Was Lewis Hamiltons Rennstart in Abu Dhabi verhindern könnte  ,0.2904761904761905,Positive,Hamilton,nan,nan,Germany
180,"  Aitken-Fehler kostet Russell Sieg: ""Fühle mich nicht dafür verantwortlich""  ",0.25625,Positive,Russell,nan,nan,Germany
181,  Sergio Perez überzeugt: Hätte in Bahrain auch gegen Russell gewonnen  ,0.45,Positive,Russell,Perez,nan,Germany
182,  Wer letzte Nacht am besten geschlafen hat: Sergio Perez  ,0.49999999999999994,Positive,Perez,nan,nan,Germany
183,  Falsche Priorisierung im Funksystem: So kam es zum Mercedes-Chaos!  ,0.38833333333333325,Positive,Mercedes,nan,nan,Germany
184,"  Carlos Sainz: ""Ein McLaren kann einen Mercedes halt nicht überholen ...""  ",0.1068181818181818,Neutral,Sainz,Mercedes,McLaren,Germany
185,"  Racing Point: Bei der Siegesfeier im Ritz zahlt ""Checo"" den Tequila!  ",0.4833333333333332,Positive,Racing Point,nan,nan,Germany
186,"  Valtteri Bottas: Sehe neben Russell aus ""wie der Depp""  ",0.3831914893617021,Positive,Russell,Bottas,nan,Germany
187,"  Alexander Albon rätselt: ""War die meiste Zeit hinter Sergio ...""  ",0.004761904761904755,Neutral,Albon,nan,nan,Germany
188,  Erstes Podium für Ocon: Keine Wette mit Renault-Teamchef Abiteboul  ,0.32837837837837835,Positive,Ocon,Renault,nan,Germany
189,"  Lance Stroll enttäuscht über P3: ""Hätte heute gewinnen können""  ",0.35185185185185186,Positive,Stroll,nan,nan,Germany
190,  Kommissare gnädig: 20.000 Euro Strafe für Mercedes nach Boxenpanne  ,0.2785714285714286,Positive,Mercedes,nan,nan,Germany
191,"  Sebastian Vettel zur Ferrari-Form: ""Sieht dann natürlich doof aus""  ",0.152,Positive,Vettel,Ferrari,nan,Germany
192,  Zwischenfall mit Verstappen: Sportkommissare bestrafen Leclerc  ,-0.5,Negative,Verstappen,Leclerc,nan,Germany
193,"  Mercedes-Panne versaut Russell-Sieg: ""Kolossalster Fuck-up!""  ",0.11896551724137933,Neutral,Russell,Mercedes,nan,Germany
194,"  Sergio Perez: ""Das Auto fühlte sich an wie eine Limousine""  ",0.2772727272727273,Positive,Perez,nan,nan,Germany
195,  GP Sachir 2020: Fragen & Antworten zum Formel-1-Rennen in Bahrain  ,0.29895833333333327,Positive,nan,nan,nan,Germany
196,  Esteban Ocon: Ricciardo im Qualifying endlich in Reichweite  ,0.5523809523809524,Positive,Ricciardo,Ocon,nan,Germany
197,"  Fittipaldis F1-Debüt: Magnussen ins Q2 gezogen, jetzt Zielankunft anvisiert  ",0.41904761904761906,Positive,Magnussen,nan,nan,Germany
198,"  Valtteri Bottas nach Pole: ""Bin enttäuscht über die Runde""  ",0.5533333333333332,Positive,Bottas,nan,nan,Germany
199,  Formel 1 Bahrain 2020: Der Rennsonntag in der Chronologie  ,0.13469387755102036,Neutral,nan,nan,nan,Germany
200,"  Max Verstappen setzt mit Soft auf Risiko: ""Haben nichts zu verlieren""  ",0.36666666666666664,Positive,Verstappen,nan,nan,Germany
201,  Romain Grosjean bestätigt: Werde auch in Abu Dhabi fehlen  ,0.438235294117647,Positive,Grosjean,nan,nan,Germany
202,"  Steiner über rüde Formel-2-Aktionen von Masepin: ""Da haben wir Arbeit vor uns""  ",-0.040909090909090895,Negative,nan,nan,nan,Germany
