Index,Title,Sentiment,Class,Entity1,Entity2,Entity3
31,  Zo zag de gemiddelde startopstelling van het F1-seizoen 2020 eruit  ,0.13200000000000003,Neutral,,,
32,"  Verstappen spreekt met Evers: ""Ben niet veranderd door roem van F1""  ",0.1892,Positive,Verstappen,,
33,"  Verstappen ligt niet wakker van reuring: ""Maar ik zeg niet alles""  ",0.23419540229885058,Positive,Verstappen,,
34,  Top-tien Formule 1-coureurs van 2020 volgens Motorsport.com  ,0.20936585365853658,Positive,,,
35,  Eindrapport Lewis Hamilton: Grootmeester regeert met ijzeren hand  ,0.28910256410256413,Positive,Hamilton,,
36,  F1-terugblik Lammers: Hamilton beste ooit? Kan niet om Verstappen heen  ,0.23415476190476184,Positive,Hamilton,Verstappen,
37,  Eindrapport Valtteri Bottas: Andermaal de tweede viool gebleken  ,0.2877160493827161,Positive,Bottas,,
38,"  Red Bull probeert Russell niet los te weken: ""Contract met Wolff""  ",0.23226666666666662,Positive,Russell,Red Bull,
39,  Eindrapport Mercedes: Weer ongrijpbaar dankzij sublieme innovaties  ,0.2641666666666667,Positive,Mercedes,,
40,"  Eindrapport Max Verstappen: Sterk, maar geen wapens voor titelstrijd  ",0.23717948717948717,Positive,Verstappen,,
41,"  Podcast-jaaroverzicht (deel 2): Mercedes superieur, Verstappen sterker  ",0.07285984848484849,Neutral,Verstappen,Mercedes,
42,  Seidl: Noodzaak om updates naar voren te halen heeft ons geholpen  ,0.28100490196078437,Positive,,,
43,  Eindrapport Alex Albon: Gewogen en (vooralsnog) te licht bevonden  ,0.04338709677419356,Neutral,Albon,,
44,  Hamilton vindt overwinning Turkije zijn beste prestatie in 2020  ,0.16071428571428573,Positive,Hamilton,,
45,"  Eindrapport Red Bull: Hoge verwachtingen gecreëerd, niet waargemaakt  ",0.19638888888888886,Positive,Red Bull,,
46,  Interview Marko: Waarom Perez en wat verwacht Red Bull van hem?  ,0.20232843137254902,Positive,Perez,Red Bull,
47,  ‘Schumacher zou erg onder de indruk zijn van Hamilton’  ,0.3136410256410257,Positive,Hamilton,,
48,  Eindrapport Carlos Sainz: Klaar voor strijd met de kroonprins  ,0.11121212121212122,Neutral,Sainz,,
49,  Eindrapport Lando Norris: Meer dan een lolbroek  ,0.20418650793650792,Positive,Norris,,
50,  Williams moet ‘flink investeren’ om team er bovenop te krijgen  ,0.14606060606060606,Neutral,Williams,,
51,  Interview Marko: Red Bull op termijn met eigen motor in Formule 1?  ,0.13959770114942527,Neutral,Red Bull,,
52,  Eindrapport McLaren: De magere jaren zijn definitief voorbij  ,0.10666666666666666,Neutral,McLaren,,
53,  VIDEO: Hamilton blikt terug op het bijzondere F1-seizoen 2020  ,0.55,Positive,Hamilton,,
54,  Eindrapport Sergio Perez: Racewinnaar eindelijk op waarde geschat  ,0.23654471544715452,Positive,Perez,,
55,  Horner ziet weinig in introductie van geplande F1-biobrandstof E10  ,0.08380952380952382,Neutral,,,
56,  Russell bespreekt wat hij van Mercedes-invalbeurt heeft geleerd  ,0.02450980392156863,Neutral,Russell,Mercedes,
57,  Marko legt uit waarom Albon het veld moet ruimen bij Red Bull  ,0.053353174603174604,Neutral,Albon,Red Bull,
58,"  Eindrapport Lance Stroll: Geen natuurtalent, wel een harde werker  ",0.2515517241379311,Positive,Stroll,,
59,  Mercedes: F1-auto's begin 2021 zeker langzamer dan afgelopen jaar  ,0.13691358024691358,Neutral,Mercedes,,
60,"  Plooij: Verstappen moet geduld hebben, levert Red Bull wel in 2021?  ",0.2523749999999999,Positive,Verstappen,Red Bull,
61,"  Eindrapport Racing Point: Niet chique, wel slim en geslepen  ",0.19425925925925927,Positive,Racing Point,,
62,  Leclerc reflecteert: “Dit was mijn beste jaar in de Formule 1”  ,0.2280654761904762,Positive,Leclerc,,
63,  Eindrapport Daniel Ricciardo: Honey badger verstevigt reputatie  ,0.16287878787878787,Positive,Ricciardo,,
64,  Analyse: Vijf winnaars van het Formule 1-seizoen 2020  ,0.22377394636015313,Positive,,,
65,  Eindrapport Ocon: Comeback kid krijgt herkansing in 2021  ,0.2443560606060606,Positive,Ocon,,
66,  Vettel legt vinger op zere plek: Waarom Ferrari-missie is mislukt  ,0.17821839080459775,Positive,Vettel,Ferrari,
67,  Eindrapport Renault: Een nieuwe stap vooruit in 2020  ,0.0989655172413793,Neutral,Renault,,
68,"  Verstappen over 2020: “Weer beter geworden, maar gat was te groot""  ",0.20238636363636361,Positive,Verstappen,,
69,  Analyse: Vijf verliezers van het Formule 1-seizoen 2020  ,0.13176160337552745,Neutral,,,
70,"  Sainz bloeide op bij McLaren: ""Gaat niet alleen om de auto""  ",0.34957291666666673,Positive,Sainz,McLaren,
71,"  F1-jaarterugblik Coronel: Verstappen gegroeid, Hamilton beste ooit  ",0.11874213836477986,Neutral,Hamilton,Verstappen,
72,  Eindrapport Pierre Gasly: Wederopstanding beloond met zege  ,0.15964285714285711,Positive,Gasly,,
73,  Sir Frank Williams weer thuis na verblijf in ziekenhuis  ,0.09866666666666667,Neutral,Williams,,
74,  Verstappen in gesprek met Evers over zijn (muzikale) opvoeding  ,0.10256410256410255,Neutral,Verstappen,,
75,"  Schumacher of niet, Haas rekent op pijnlijk F1-seizoen in 2021  ",0.23014705882352945,Positive,Haas,,
76,  Eindrapport Daniil Kvyat: Tweede afscheid voor wisselvallige Rus  ,0.12361111111111112,Neutral,Kvyat,,
77,  Williams: We willen geen F1 B-team worden  ,0.20967741935483872,Positive,Williams,,
78,"  Red Bull-baas voorspelt spannend F1-seizoen: ""Verschillen kleiner""  ",0.16622685185185182,Positive,Red Bull,,
79,"  Kvyat hoopt op F1-terugkeer: ""Ben nu klaar voor topteam""  ",0.2609009009009009,Positive,Kvyat,,
80,"  Eindrapport AlphaTauri: Nieuwe naam, maar dezelfde resultaten  ",0.22820000000000001,Positive,AlphaTauri,,
81,  Slimmigheid van Mercedes de oorzaak van nederlaag in Abu Dhabi?  ,0.19307291666666665,Positive,Mercedes,,
82,  Russell heeft al veranderingen voorgesteld na invalbeurt Mercedes  ,0.22425925925925927,Positive,Russell,Mercedes,
83,  VIDEO: Gasly over zijn memorabele F1-seizoen 2020  ,0.381,Positive,Gasly,,
84,"  Podcast-jaaroverzicht (deel 1): Ferrari verzuipt, Gasly imponeert  ",0.08439999999999999,Neutral,Gasly,Ferrari,
85,  Eindrapport Romain Grosjean: F1-pensioen met gemengde gevoelens  ,0.2213580246913581,Positive,Grosjean,,
86,  Eindrapport Magnussen: Anoniem afscheid voor onderschatte coureur  ,0.12500000000000003,Neutral,Magnussen,,
87,  Eindrapport Haas: Is de bodem stilaan in zicht?  ,0.18313131313131317,Positive,Haas,,
88,  Eindrapport George Russell: Geen twijfel meer mogelijk  ,0.18005747126436786,Positive,Russell,,
89,  Sterkere teamgenoot voor Verstappen? Horner maakt zich geen zorgen  ,0.4122619047619049,Positive,Verstappen,,
90,"  Haas enthousiast over Schumacher: ""Werklust is indrukwekkend""  ",0.23199494949494948,Positive,Haas,,
91,  Magnussen: Grosjean 'fenomenaal' in de kwalificatie  ,0.18015873015873018,Positive,Grosjean,Magnussen,
92,  Ferrari heeft 'veel geleerd' in pijnlijk F1-seizoen 2020  ,0.07899999999999997,Neutral,Ferrari,,
93,  Eindrapport Nicholas Latifi: Meer dan dit zit er niet in  ,-0.008492063492063466,Neutral,Latifi,,
94,"  Renault weerlegt kritiek: ""Alonso is nog steeds in het nadeel""  ",0.08712121212121213,Neutral,Renault,,
95,  Eindrapport Williams: Eindelijk perspectief voor de iconische renstal?  ,0.17888888888888888,Positive,Williams,,
96,  Ocon: Camber in bochten kan GP Abu Dhabi minder saai maken  ,0.04398989898989899,Neutral,Ocon,,
97,"  Interview manager Verstappen: ""Nog als vis in het water bij Red Bull""  ",0.2677517361111112,Positive,Verstappen,Red Bull,
98,  Hamilton ‘trots’ dat Wolff doorgaat als teambaas Mercedes  ,0.39,Positive,Hamilton,Mercedes,
99,  Binotto: Rivalen Ferrari voor P3 profiteren van ‘gratis tokens’  ,0.14469696969696969,Neutral,Ferrari,,
100,  Steiner overtuigd dat Fittipaldi ‘goed werk kan leveren’ in F1  ,0.18779761904761902,Positive,,,
101,"  Red Bull geeft toe: ""Hülkenberg was geen echte optie voor 2021""  ",0.29454545454545455,Positive,Red Bull,,
102,  Interview Jack Plooij: Anekdotes uit F1-paddock in coronajaar 2020  ,0.2177644230769231,Positive,,,
103,  VIDEO: Waarom werd Mercedes verslagen door Max Verstappen?  ,0.09761904761904763,Neutral,Verstappen,Mercedes,
104,"  Verstappen blij met Perez: ""Met twee auto's vechten tegen Mercedes""  ",0.23479591836734695,Positive,Verstappen,Perez,Mercedes
105,  Analyse: Perez een geschikte Red Bull-teamgenoot voor Verstappen?  ,0.25217032967032976,Positive,Verstappen,Perez,Red Bull
106,  FIA scherpt bandenreglement aan na incident met Russell  ,0.08000000000000002,Neutral,Russell,,
107,"  Wolff en Ricciardo in koor: ""F1 kan leren van Alonso-demo in R25""  ",0.2644907407407407,Positive,Ricciardo,,
108,  Vettel vindt Leclerc ‘grootste talent in mijn vijftien jaar in F1’  ,0.32391304347826083,Positive,Leclerc,Vettel,
109,  Tilke over kritiek op F1-circuits: “Perfect circuit bestaat niet”  ,0.1733333333333333,Positive,,,
110,  'Perez op weg naar Red Bull Racing voor F1-seizoen 2021'  ,0.15833333333333335,Positive,Perez,Red Bull,
111,  VIDEO: Toto Wolff blikt terug op F1-seizoen 2020  ,0.08444444444444445,Neutral,,,
112,  Jack Plooij en de introductie van de ‘weekendnaaier’  ,0.1731150793650794,Positive,,,
113,  Haas overweegt maatregelen in zaak Mazepin privé te houden  ,0.0582,Neutral,Haas,,
114,"  Interview Jos Verstappen: Kansen in 2021, docu en Le Mans met Max?  ",0.2149206349206349,Positive,Verstappen,,
115,  Teambazen kiezen Hamilton boven Verstappen als beste coureur 2020  ,0.2833333333333334,Positive,Hamilton,Verstappen,
116,  Deze F1-coureurs werden in 2020 Driver of the Day  ,0.33694444444444444,Positive,,,
117,  Red Bull zal vertrekkende titelsponsor Aston Martin niet vervangen  ,0.2669444444444445,Positive,Red Bull,,
118,  Lees terug - Het liveblog van donderdag 17 december 2020  ,0.16860360360360366,Positive,,,
119,  Ricciardo: F1 moet andere lay-out Yas Marina Circuit overwegen  ,0.041555555555555554,Neutral,Ricciardo,,
120,  Formule 1 nog zeker vijf jaar op Interlagos dankzij nieuwe deal  ,0.1494642857142857,Neutral,,,
121,"  GPUpdate Podcast: Vierde plek Albon 'too little, too late'  ",0.1710526315789474,Positive,Albon,,
122,  Grosjean geopereerd aan gewrichtsband van linkerhand  ,0.05403846153846155,Neutral,Grosjean,,
123,"  Interview: Toto Wolff over de toekomst van Formule 1, budgetplafond en meer  ",0.23200032552083338,Positive,,,
124,  Gesprekken over motorbevriezing geven Red Bull hoop op Honda-deal  ,0.1621666666666667,Positive,Red Bull,,
125,  Mazepin verliest rechtszaak over mislukte aankoop Force India  ,0.11015151515151515,Neutral,,,
126,  Deze coureurs reden in 2020 de snelste ronde tijdens een Grand Prix  ,0.33157894736842114,Positive,,,
127,"  Coronel: ""Red Bull moet voor Perez gaan als teamgenoot Verstappen""  ",0.16072222222222224,Positive,Verstappen,Perez,Red Bull
128,  Mercedes lovend over snelheid De Vries bij Formule 1-testdebuut  ,0.31368421052631584,Positive,Mercedes,,
129,"  De Vries onder indruk van Mercedes W11: ""Van een andere planeet""  ",0.25520000000000004,Positive,Mercedes,,
130,  Vandoorne bedankt Mercedes na ‘unieke testkans’ in Abu Dhabi  ,0.11294117647058825,Neutral,Mercedes,,
131,  Achter de schermen: Wat te verwachten van nieuwe Verstappen-docu?  ,0.22280158730158736,Positive,Verstappen,,
132,  Vandoorne leidt halverwege rookietest voor oud-teamgenoot Alonso  ,0.11333333333333333,Neutral,,,
133,  Masi verklaart uitstel onderzoek Sainz tot na GP Abu Dhabi  ,0.25279411764705884,Positive,Sainz,,
134,  Ricciardo 'voldaan' na ommekeer Renault tijdens F1-seizoen 2020  ,0.1360897435897436,Neutral,Ricciardo,Renault,
135,  Red Bull sleept wederom Fastest Pitstop Award in de wacht  ,0.4027777777777779,Positive,Red Bull,,
136,  GPUpdate Podcast: Een zwaluw maakt nog geen zomer  ,0.17182539682539683,Positive,,,
137,"  Jos Verstappen: ""Mooie zege, maar win nog liever eerste race 2021""  ",0.2461666666666666,Positive,Verstappen,,
138,  Verstappen ziet 2021 als ‘grootste kans’ op titelstrijd in F1  ,0.15975490196078435,Positive,Verstappen,,
139,  Hamilton ziet in Red Bull bedreiging voor Mercedes in 2021  ,0.13106060606060604,Neutral,Hamilton,Red Bull,Mercedes
140,  Alonso ontkracht belang van veelbesproken Abu Dhabi-test  ,0.28403508771929825,Positive,,,
141,  Hamilton wil voor Kerstmis nieuw contract tekenen bij Mercedes  ,0.13333333333333333,Neutral,Hamilton,Mercedes,
142,  Vettel neemt geëmotioneerd (en zingend) afscheid van Ferrari  ,0.0932692307692308,Neutral,Vettel,Ferrari,
143,  Lees terug - Het liveblog van maandag 14 december 2020  ,0.2673636363636363,Positive,,,
144,  Dit schreven internationale media over Verstappen in Abu Dhabi  ,0.10955555555555556,Neutral,Verstappen,,
145,  Stel een F1-vraag voor de GPUpdate Podcast en win McLaren-goodies  ,0.27722222222222226,Positive,McLaren,,
146,"  Kan Red Bull 2021 beter starten? ""Moeten dit momentum gebruiken""  ",0.2594871794871795,Positive,Red Bull,,
147,"  Verstappen sluit 2020 sterk af: ""Belangrijke boost voor het team""  ",0.24136178861788618,Positive,Verstappen,,
148,"  McLaren derde in de eindstand: ""Prachtig einde van het seizoen""  ",0.3053846153846154,Positive,McLaren,,
149,"  Horner looft Verstappen na 'saaie zege': ""Perfect weekend voor ons""  ",0.357265625,Positive,Verstappen,,
150,"  Albon: ""Alles aan gedaan"" om stoeltje voor 2021 te behouden  ",0.1719230769230769,Positive,Albon,,
151,"  Mercedes verrast door snelheid Verstappen: ""Hadden geen antwoord""  ",0.18873873873873875,Positive,Verstappen,Mercedes,
152,  WK-eindstand 2020 na de Formule 1 Grand Prix van Abu Dhabi  ,0.0,Neutral,,,
153,"  Verstappen zegeviert glorieus in slotrace: ""Dit is echt genieten""  ",0.30875,Positive,Verstappen,,
154,  F1 Grand Prix Abu Dhabi uitslag: Verstappen pakt tiende F1-zege  ,0.24880952380952379,Positive,Verstappen,,
155,  Verstappen sluit F1-seizoen 2020 af met dominante overwinning  ,0.14148148148148149,Neutral,Verstappen,,
156,  Lees terug - Liveblog Grand Prix Formule 1 van Abu Dhabi 2020  ,0.20576923076923087,Positive,,,
157,"  Wolff duidelijk: ""Bottas verliest zitje niet aan Russell voor 2021""  ",0.2137797619047619,Positive,Russell,Bottas,
158,"  Mercedes kampt met MGU-K-probleem, schroeft vermogen wagens terug  ",0.22208333333333335,Positive,Mercedes,,
159,  Stroll moet oude krachtbron sparen in strijd met McLaren om P3  ,0.18841954022988505,Positive,Stroll,McLaren,
160,  Albon verwacht Verstappen van dienst te kunnen zijn in Abu Dhabi  ,0.16484523809523807,Positive,Verstappen,Albon,
161,"  Kan Verstappen afsluiten met winst? ""Heb niet echt een back-up""  ",0.20469086021505375,Positive,Verstappen,,
162,  VIDEO: Volledige startopstelling voor Grand Prix van Abu Dhabi  ,0.41666666666666663,Positive,,,
163,  Kwalificatieduels F1: Eindstand na kwalificatie GP van Abu Dhabi  ,0.3280701754385966,Positive,,,
164,  Leclerc stelt zichzelf teleur tijdens Q3 in Abu Dhabi  ,0.2613888888888889,Positive,Leclerc,,
165,  Sterke Norris vooral blij met klein verschil naar top-drie  ,0.31349206349206354,Positive,Norris,,
166,"  Horner looft Verstappen: ""Eigenlijk een perfecte ronde gereden""  ",0.40275862068965523,Positive,Verstappen,,
167,  Hamilton 'nog niet honderd procent' in Abu Dhabi na COVID-19  ,0.29184210526315796,Positive,Hamilton,,
168,"  Verstappen verrast met pole: ""Mooie motivatie voor het hele team""  ",0.24215494791666667,Positive,Verstappen,,
169,"  Hamilton en Bottas eens geklopt: ""Verstappen was erg snel""  ",0.29215686274509806,Positive,Hamilton,Verstappen,Bottas
170,"  Verstappen jubelt na derde pole: ""Dit voelt zo verschrikkelijk goed""  ",0.3017171717171717,Positive,Verstappen,,
171,  F1 GP van Abu Dhabi uitslag kwalificatie: Verstappen op pole  ,0.10965476190476191,Neutral,Verstappen,,
172,  Verstappen stunt met pole voor seizoensafsluiter in Abu Dhabi  ,0.10979166666666665,Neutral,Verstappen,,
173,  Lees terug: Live verslag kwalificatie Grand Prix van Abu Dhabi  ,0.1652898550724638,Positive,,,
174,"  Ferrari: Vertrek Camilleri triest, maar geen impact op korte termijn  ",0.16961111111111107,Positive,Ferrari,,
175,  Volledige uitslag derde training F1 Grand Prix van Abu Dhabi  ,0.0,Neutral,,,
176,  Verstappen domineert laatste training Grand Prix van Abu Dhabi  ,0.0919298245614035,Neutral,Verstappen,,
177,  Lees terug: Live verslag VT3 Grand Prix van Abu Dhabi  ,0.16818840579710145,Positive,,,
178,  Magnussen ziet GP Abu Dhabi als laatste race van F1-carrière  ,0.02673076923076924,Neutral,Magnussen,,
179,"  Formule 1 Grand Prix van Abu Dhabi – Starttijd, welke zender en meer  ",0.1506060606060606,Positive,,,
180,"  Russell: ""Terugkeer naar Williams voelde vreemd aan""  ",0.24702702702702709,Positive,Russell,Williams,
181,"  Wolff: ""Vandoorne en De Vries verdienen test voor harde werk""  ",0.17791666666666667,Positive,,,
182,"  Schumacher na F1-trainingsdebuut: ""Dit gaat niet snel vervelen""  ",0.27044444444444443,Positive,,,
183,"  Hamilton op 'eerste schooldag': ""Russell heeft het geweldig gedaan""  ",0.1444444444444445,Neutral,Russell,Hamilton,
184,"  Verstappen grapt: ""Zal mijn eigen stoel voor P3 wel weer claimen""  ",0.15250000000000002,Positive,Verstappen,,
185,  Volledige uitslag tweede training F1 Grand Prix van Abu Dhabi  ,0.0,Neutral,,,
186,  Bottas voert tijdenlijst aan na tweede training GP van Abu Dhabi  ,0.14059829059829065,Neutral,Bottas,,
187,  F1 Tech: Red Bull geeft meer ontwerpen voor 2021 prijs  ,0.05388888888888889,Neutral,Red Bull,,
188,  Renault: Alonso in 'rookietest' uit menselijke overwegingen  ,0.16506944444444444,Positive,Renault,,
189,  Lees terug: Live verslag VT2 Grand Prix van Abu Dhabi  ,0.23793650793650792,Positive,,,
190,"  Horner erkent: ""Perez maakt zeer goede reclame voor zichzelf""  ",0.3159333333333333,Positive,Perez,,
191,  Volledige uitslag eerste training F1 Grand Prix van Abu Dhabi  ,0.0,Neutral,,,
192,  Verstappen opent laatste Formule 1-weekend van 2020 als snelste  ,0.10779569892473118,Neutral,Verstappen,,
193,  Perez start GP van Abu Dhabi achteraan door motorische gridstraf  ,0.10920000000000003,Neutral,Perez,,
194,  Lees terug: Liveverslag VT1 Grand Prix van Abu Dhabi  ,0.18179738562091505,Positive,,,
195,  De Vries maakt F1-debuut met Mercedes in Abu Dhabi-test  ,0.1660714285714286,Positive,Mercedes,,
196,"  Russell neemt 2021-uitspraak terug: ""Rijd gewoon voor Williams""  ",0.12400641025641027,Neutral,Russell,Williams,
197,  Verstappen over RB16: “Het is allemaal niet zo dramatisch”  ,0.24896666666666667,Positive,Verstappen,,
198,"  Kwalificatie F1 Grand Prix van Abu Dhabi – Starttijd, welke zender en meer  ",0.19652777777777783,Positive,,,
199,  Met deze tv’s kijk je Formule 1 in Hollywood-kwaliteit #adv  ,0.29843434343434344,Positive,,,
200,"  Bottas zelfkritisch na povere Grands Prix: ""Moet het beter doen""  ",0.207027027027027,Positive,Bottas,,
201,  Hoe de ‘French Fuck’-grap van Jack Plooij ietwat uit de hand liep  ,0.20471409574468077,Positive,,,
202,"  Hamilton terug na negatieve coronatest, Russell weer naar Williams  ",0.029772727272727288,Neutral,Russell,Hamilton,Williams
203,  Verstappen bemoeit zich ‘totaal niet’ met tweede Red Bull-zitje  ,0.19158602150537637,Positive,Verstappen,Red Bull,
204,  Sainz: “Logica ontbreekt bij besluit FIA over test in Abu Dhabi”  ,0.0669753086419753,Neutral,Sainz,,
205,"  Russell hoopt op nieuwe Mercedes-kans: ""Wachten op test Hamilton""  ",0.13412280701754387,Neutral,Russell,Hamilton,Mercedes
206,"  Leclerc na incident met Verstappen en Perez: ""Momenten beter kiezen""  ",0.02642857142857143,Neutral,Verstappen,Perez,Leclerc
207,"  Verstappen: ""Denk dat we in 2021 al iets competitiever kunnen zijn""  ",0.19266666666666668,Positive,Verstappen,,
208,  FIA en F1 steunen Haas in handelen rond video-incident Mazepin  ,0.023250000000000003,Neutral,Haas,,
209,"  Marko feliciteert Perez, maar zege niet cruciaal voor Red Bull-kans  ",0.19098765432098763,Positive,Perez,Red Bull,
210,  Zieke Ferrari-teambaas Binotto laat ook GP van Abu Dhabi schieten  ,0.17783653846153846,Positive,Ferrari,,
211,  Ferrari onthult oorzaak van langzame F1-pitstops in 2020  ,0.04750000000000001,Neutral,Ferrari,,
212,  Lees terug - Het liveblog van donderdag 10 december 2020  ,0.2242957746478873,Positive,,,
213,  Red Bull ontkent interesse in Russell: “Geen thema voor ons”  ,0.2723611111111111,Positive,Russell,Red Bull,
214,  VIDEO: Hoe Mercedes de overwinning van Russell in Sakhir weggooide  ,0.39999999999999997,Positive,Russell,Mercedes,
215,  Duwt Liberty Perez richting Red Bull om GP Mexico te behouden?  ,0.2440952380952381,Positive,Perez,Red Bull,
216,"  Red Bull laat Vips en Buemi testen in Abu Dhabi, Alfa kiest Kubica  ",0.16587301587301587,Positive,Red Bull,,
217,"  Verstappen wil succes in Abu Dhabi: ""Hebben niets te verliezen""  ",0.19420289855072467,Positive,Verstappen,,
218,  Weerbericht Formule 1 Grand Prix van Abu Dhabi  ,0.09791666666666668,Neutral,,,
219,  Haas F1 Team neemt afstand van “verwerpelijke” video Mazepin  ,0.0614583333333333,Neutral,Haas,,
220,"  Wolff benadrukt: “Hamilton blijft de benchmark""  ",0.27777777777777785,Positive,Hamilton,,
221,  Williams miste input van Russell tijdens Sakhir Grand Prix  ,0.3112820512820513,Positive,Russell,Williams,
222,  FIA steekt stokje voor Ferrari-test Sainz in Abu Dhabi  ,0.04761904761904763,Neutral,Sainz,Ferrari,
223,  Sainz prijst McLaren F1-maatje Norris: 'Veel van hem geleerd'  ,0.37403846153846154,Positive,Sainz,Norris,McLaren
224,  Brawn ziet ‘briljante’ Perez winnen: “Tragedie als hij 2021 mist”  ,0.3798076923076923,Positive,Perez,,
225,  GPUpdate Podcast: Revelatie Russell heeft Bottas meteen geknakt  ,0.1616666666666667,Positive,Russell,Bottas,
226,  Hamilton heeft 'zwaarste week' achter de rug na coronabesmetting  ,0.16996031746031748,Positive,Hamilton,,
227,  Privévliegtuig Stroll vloog reserveonderdelen naar Bahrein  ,0.1402469135802469,Neutral,Stroll,,
228,"  Vettel kritisch op Ferrari: ""Pitapparatuur deugt niet""  ",0.10136363636363634,Neutral,Vettel,Ferrari,
229,  Mercedes onder indruk van hoe Russell met druk omging in Sakhir  ,0.21447916666666667,Positive,Russell,Mercedes,
230,  McLaren baalt van safety car: “Sainz was op jacht”  ,0.1541666666666667,Positive,Sainz,McLaren,
231,"  Column: Toto, wanneer krijgt Russell het verdiende Mercedes-zitje?  ",0.20400406504065036,Positive,Russell,Mercedes,
232,  Ricciardo: Hadden Perez de GP van Sakhir niet mogen laten winnen  ,0.11622807017543861,Neutral,Perez,Ricciardo,
233,  Russell hoopt Wolff kopzorgen te bezorgen: ‘Niet alleen voor 2022’  ,0.17746376811594206,Positive,Russell,,
234,  Lees terug - Liveblog van dinsdag 8 december 2020  ,0.21570881226053643,Positive,,,
235,  AlphaTauri bevestigt Tsunoda voor Young Driver F1-Test Abu Dhabi  ,0.3205797101449276,Positive,AlphaTauri,,
236,  De Vries ziet oud-teamgenoot Russell schitteren: “Fantastisch gedaan”  ,0.2456821895424836,Positive,Russell,,
237,  Formule 1 tijdschema: Hoe laat begint de slotrace in Abu Dhabi?  ,0.1439130434782609,Neutral,,,
238,"   Bottas is mild voor zichzelf: ""Geen ideaal weekend, natuurlijk""  ",0.21645833333333336,Positive,Bottas,,
239,"  Hamilton op goede weg voor terugkeer in Abu Dhabi, aldus Wolff  ",0.13824404761904766,Neutral,Hamilton,,
