Index,Title,Sentiment,Class,Entity1,Entity2,Entity3,Germany
64,"  Ricciardo kritisiert: F1-Saisonfinale in Abu Dhabi wie ""ein langes Zeitfahren""  ",0.027586206896551703,Neutral,Ricciardo,,,Germany
65,  Warum Daniil Kwjat zum Saisonende hin immer besser wurde  ,0.2,Positive,,,,Germany
66,"  Bottas wieder WM-Zweiter: ""Kann nicht so zufriedenstellend sein""  ",0.45789473684210524,Positive,Bottas,,,Germany
67,  Nicholas Latifi bewertet erste Formel-1-Saison 2020 mit 8/10 Punkten  ,0.3275862068965517,Positive,Latifi,,,Germany
68,  Formel-1-Technik 2020: Letzter 2021er-Vortest in Abu Dhabi  ,0.3899999999999999,Positive,,,,Germany
69,"  Keine F1-Zeitenjagd: Haas ""sehr zufrieden"" mit Mick Schumacher  ",0.7184210526315788,Positive,Haas,,,Germany
70,  Kevin Magnussen rechnet nicht mit Rückkehr in die Formel 1  ,0.4444444444444444,Positive,Magnussen,,,Germany
71,  Spendenerfolg: McLaren sammelt fast halbe Million Euro für wohltätige Zwecke  ,0.6400000000000001,Positive,McLaren,,,Germany
72,"  Young-Driver-Test Abu Dhabi: ""Jungspund"" Alonso am schnellsten  ",0.5058823529411764,Positive,,,,Germany
73,"  Andreas Seidl: Was die F1 2020 geleistet hat, wird nicht genug gelobt  ",0.36538461538461536,Positive,,,,Germany
74,"  McLaren: Bei Platz drei geht es vor allem ""um das sportliche Prestige""  ",0.5466666666666666,Positive,McLaren,,,Germany
75,  MGU-K: Warum die Mercedes-Fahrer nicht Bescheid wussten  ,0.18378378378378377,Positive,Mercedes,,,Germany
76,  Wer fährt für welches Team beim Young-Driver-Test 2020?  ,0.09374999999999996,Neutral,,,,Germany
77,  Charles Leclerc: Andere Strategie hätte auch nichts geändert  ,0.38892857142857146,Positive,Leclerc,,,Germany
78,  TV-Quoten Abu Dhabi 2020: Vorjahreswerte überall übertroffen  ,0.1571428571428571,Positive,,,,Germany
79,"  Formel-1-Quoten 2020: Die Übersicht von Sky, RTL und ORF  ",0.3444444444444444,Positive,,,,Germany
80,"  George Russell: ""Gibt vieles, worauf wir stolz sein können""  ",0.40689655172413797,Positive,Russell,,,Germany
81,  Beinahe Mechaniker überfahren: Warum gab's dafür keine Strafe?  ,0.09375,Neutral,,,,Germany
82,  Die schnellsten Boxenstopps der Formel 1 2020  ,0.6272727272727273,Positive,,,,Germany
83,  Formel 1 2020: Fahrer des Tages  ,0.8555555555555556,Positive,,,,Germany
84,  Wer letzte Nacht am besten geschlafen hat: Mick Schumacher  ,0.4507246376811592,Positive,,,,Germany
85,  Formel 1 Abu Dhabi 2020: Die animierte Rundentabelle  ,0.0,Neutral,,,,Germany
86,"  Andreas Seidl: ""Stolz darauf, heute Teil des McLaren-Teams zu sein""  ",0.6018867924528299,Positive,McLaren,,,Germany
87,  MGU-K runtergedreht: Lewis Hamilton wusste von nichts  ,0.4461538461538461,Positive,Hamilton,,,Germany
88,"  Daniel Ricciardo: Ein Abschiedsrennen im ""Niemandsland""  ",0.6633333333333332,Positive,Ricciardo,,,Germany
89,"  Red Bull will Schwung für 2021 nutzen: ""Mercedes steht nicht still!""  ",0.3677419354838709,Positive,Red Bull,Mercedes,,Germany
90,  Toto Wolff: Positionstausch Bottas-Hamilton war kein Thema  ,0.4742424242424242,Positive,Hamilton,Bottas,,Germany
91,  Daniil Kwjat: Aus bei AlphaTauri wird am Dienstag besiegelt  ,0.5105263157894736,Positive,AlphaTauri,,,Germany
92,  Keine Strafe für Sainz nach vermeintlicher Boxen-Schleichfahrt  ,0.1870967741935484,Positive,Sainz,,,Germany
93,"  Albon verpasst Podium in Abu Dhabi knapp: ""Ich habe heute alles gegeben""  ",0.4445945945945945,Positive,Albon,,,Germany
94,"  Racing Point unterliegt McLaren: ""Viele verpasste Chancen""  ",0.2323529411764706,Positive,Racing Point,McLaren,,Germany
95,  Sonderpokal für Sebastian Vettel zum Ferrari-Abschied!  ,0.49666666666666665,Positive,Vettel,Ferrari,,Germany
96,"  Lewis Hamilton: ""Ich war noch nie so ausgelaugt!""  ",0.47045454545454546,Positive,Hamilton,,,Germany
97,"  Max Verstappen ""zu schnell"" für Mercedes in Abu Dhabi  ",0.59375,Positive,Verstappen,Mercedes,,Germany
98,  F1-Saisonfinale 2020: Fragen & Antworten zum Grand Prix von Abu Dhabi  ,0.33684210526315783,Positive,,,,Germany
99,"  Max Verstappen nach erster Pole 2020: ""Konnte sehr enge Linie fahren""  ",0.6874999999999999,Positive,Verstappen,,,Germany
100,  Fernando Alonso nach Demorun im R25: Genau das fehlt der Formel 1  ,0.5434782608695652,Positive,,,,Germany
101,  Daniil Kwjat: Im richtigen Auto kann ich um die WM kämpfen  ,0.5570175438596491,Positive,,,,Germany
102,  Formel 1 Abu Dhabi 2020: Das letzte Rennen des Jahres in der Chronologie  ,0.24418604651162787,Positive,,,,Germany
103,  Zum Ricciardo-Abschied: Versöhnliche Worte von Cyril Abiteboul  ,0.45,Positive,Ricciardo,,,Germany
104,  Zak Brown: Leider kann es auch noch WM-Platz fünf werden für McLaren ...  ,0.5476190476190476,Positive,McLaren,,,Germany
105,"  Sebastian Vettel: ""Es ist ganz offensichtlich ein Rätsel ...""  ",0.5636363636363636,Positive,Vettel,,,Germany
106,"  Trotz P5 und 0,325 Sekunden Rückstand: ""Bestes Qualifying"" für Alexander Albon  ",0.4280487804878048,Positive,Albon,,,Germany
107,"  Hamilton und der ""Schwarze Schwan"": Was Toto Wolff damit gemeint hat  ",0.19090909090909092,Positive,Hamilton,,,Germany
108,  Nach Aussprache mit Valtteri Bottas: Toto Wolff bestätigt Vertrag für 2021  ,0.28469387755102044,Positive,Bottas,,,Germany
109,  Lance Stroll pokert in Abu Dhabi: Alter Mercedes-Motor als Handicap  ,0.5230769230769231,Positive,Stroll,Mercedes,,Germany
110,  Valtteri Bottas: Wo er die 25 Tausendstelsekunden verloren hat  ,0.44761904761904747,Positive,Bottas,,,Germany
111,"  Hamilton-Start nicht in Gefahr, aber: ""Habe viel Gewicht verloren""  ",0.19666666666666668,Positive,Hamilton,,,Germany
112,"  Helmut Marko: ""Können das Rennen auch gewinnen""  ",0.7766666666666666,Positive,,,,Germany
113,"  Sergio Perez vor Aufholjagd: Frischer Motor bringt ""ein paar Zehntel""  ",0.46590909090909083,Positive,Perez,,,Germany
114,"  Renault ärgert sich über Q2-Aus: ""Wir müssen All-in gehen!""  ",0.35714285714285715,Positive,Renault,,,Germany
115,  Max Verstappen: Hand verklemmt im Formel-1-Qualifying!  ,0.44666666666666666,Positive,Verstappen,,,Germany
116,"  Andrew Shovlin gibt zu: Qualifying-Probleme für Mercedes ""überraschend""  ",0.2655172413793104,Positive,Mercedes,,,Germany
117,"  P4 da, Konkurrenz weit weg: ""Perfekter Samstag"" für McLaren  ",0.6578947368421052,Positive,McLaren,,,Germany
118,  Charles Leclerc: Q2 als Schlüssel zum Erfolg für Ferrari  ,0.2966666666666667,Positive,Leclerc,Ferrari,,Germany
119,"  Sebastian Vettel: ""Bin erleichtert, dass es zu Ende ist""  ",0.37307692307692303,Positive,Vettel,,,Germany
120,  Die Qualifying-Duelle der Formel-1-Saison 2020  ,0.39999999999999997,Positive,,,,Germany
121,  F1 Abu Dhabi 2020: Fragen & Antworten zum Qualifying  ,0.30833333333333324,Positive,,,,Germany
122,"  Red Bull: Entscheidung über Alexander Albons Schicksal ""in ein paar Tagen""  ",0.1730769230769231,Positive,Albon,Red Bull,,Germany
123,  F1 Abu Dhabi 2020: Hat Mercedes im dritten Freien Training geblufft?  ,0.17272727272727273,Positive,Mercedes,,,Germany
124,"  ""Danke, Seb"": Charles Leclerc fährt in Abu Dhabi mit Helm zu Vettels Ehren  ",0.2125,Positive,Leclerc,Vettel,,Germany
125,  Formel 1 Abu Dhabi 2020: Das letzte Qualifying des Jahres in der Chronologie  ,0.46404494382022476,Positive,,,,Germany
126,  100. Grand Prix für Haas in der F1: Worauf Günther Steiner stolz ist  ,0.32307692307692304,Positive,Haas,,,Germany
127,  2021er-Unterboden getestet: Vettel hilft bei Entwicklung des neuen Ferrari  ,0.44000000000000006,Positive,Vettel,Ferrari,,Germany
128,"  Günther Steiner: Mick Schumacher ""hat einen fantastischen Job gemacht""  ",0.345,Positive,,,,Germany
129,"  Ralf Schumacher: ""Bottas nächstes Jahr nicht mehr im Mercedes""  ",0.3857142857142858,Positive,Bottas,Mercedes,,Germany
130,"  ""Eigenartiges Gefühl"": George Russell berichtet von seiner Williams-Rückkehr  ",0.37999999999999995,Positive,Russell,Williams,,Germany
131,  Alfa Romeo in Flammen: Darum kam Räikkönen so langsam aus dem Auto  ,0.09333333333333331,Neutral,Alfa Romeo,,,Germany
132,"  Andreas Seidl: ""Haben größeren Sprung mit dem Soft erwartet""  ",0.7638888888888887,Positive,,,,Germany
133,"  Lewis Hamilton wieder da: ""Wie am ersten Schultag!""  ",0.444,Positive,Hamilton,,,Germany
134,  Formel-1-Technik: Was in Abu Dhabi für 2021 getestet wurde  ,0.5090909090909091,Positive,,,,Germany
135,  Warum Renault Fernando Alonso unbedingt testen wollte  ,0.5137931034482758,Positive,Renault,,,Germany
136,"  F1 Abu Dhabi: Hamilton Schnellster, aber Bestzeit für Bottas!  ",0.38958333333333317,Positive,Hamilton,Bottas,,Germany
137,  Mick Schumachers Debüt: Warum er schneller war und was noch besser geht  ,0.6277777777777778,Positive,,,,Germany
138,  Mercedes erklärt: Warum Bottas' Starts so schlecht ausgesehen haben  ,0.5666666666666667,Positive,Bottas,Mercedes,,Germany
139,"  Horner lobt Perez: Sieg in Bahrain war ""großartige Eigenwerbung""  ",0.65,Positive,Perez,,,Germany
140,  Abu Dhabi 2020: So lief das erste Formel-1-Training von Mick Schumacher!  ,0.3090909090909091,Positive,,,,Germany
141,  Romain Grosjean zeigt Grad seiner Verbrennungen auf Social Media  ,0.17272727272727273,Positive,Grosjean,,,Germany
142,  Haas: Kein Abschiedstest für Romain Grosjean möglich  ,0.7714285714285715,Positive,Grosjean,Haas,,Germany
143,"  Formel-1-Liveticker: George Russell ""kein Thema"" für Red Bull  ",0.3476190476190475,Positive,Russell,Red Bull,,Germany
144,  Max Verstappen: Suche mir meinen Teamkollegen nicht aus  ,0.43333333333333335,Positive,Verstappen,,,Germany
145,"  Toto Wolff über Bottas: ""Alles andere als einfach"", ""immens unter Druck""  ",0.3532258064516129,Positive,Bottas,,,Germany
146,  Magnussen: Kaum jemand auf eine Runde schneller als Grosjean  ,0.4448275862068965,Positive,Grosjean,Magnussen,,Germany
147,  Nicholas Latifi: Russell-Leistung im Mercedes lässt ihn besser aussehen  ,0.5583333333333333,Positive,Russell,Latifi,Mercedes,Germany
148,  Kampf um Platz drei: McLaren muss auf Probleme bei Racing Point hoffen  ,0.388235294117647,Positive,Racing Point,McLaren,,Germany
149,  Warum Lewis Hamilton nun doch beim Formel-1-Finale in Abu Dhabi fährt  ,0.07894736842105261,Neutral,Hamilton,,,Germany
150,"  Vettel über Young-Driver-Test: ""Dann müsste man es allen erlauben""  ",0.3045454545454545,Positive,Vettel,,,Germany
151,"  ""No Power"": Mercedes erklärt, warum George Russell so besorgt war  ",-0.11724137931034484,Negative,Russell,Mercedes,,Germany
152,"  Magnussen vor F1-Abschiedsrennen: ""Man sollte niemals nie sagen""  ",0.3461538461538461,Positive,Magnussen,,,Germany
153,  George Russell stellt klar: Bin für 2021 ein Williams-Fahrer  ,0.14761904761904765,Neutral,Russell,Williams,,Germany
154,"  Nach ""Missverständnis"": Was Pirelli beim Reifentest in Abu Dhabi ändern will  ",0.19736842105263164,Positive,,,,Germany
155,"  Max Verstappen: Wäre auch raus, wenn ich das Kiesbett gesehen hätte  ",-0.11034482758620687,Negative,Verstappen,,,Germany
156,  Showrun in Abu Dhabi: Fernando Alonso zurück am Steuer des Renault R25  ,0.22777777777777775,Positive,Renault,,,Germany
157,  Krank nach Italien: Ferrari in Abu Dhabi wieder ohne Mattia Binotto  ,0.7,Positive,Ferrari,,,Germany
158,  Warten auf Lewis Hamilton: Jack Aitken als Williams-Fahrer in FIA-PK  ,0.6285714285714286,Positive,Hamilton,Williams,,Germany
159,"  Mercedes-Boxenproblem gelöst? ""Haben die Köpfe rauchen lassen!""  ",0.01052631578947367,Neutral,Mercedes,,,Germany
160,  Dank ans Team: Mercedes fährt in Abu Dhabi mit Speziallackierung  ,0.42750000000000005,Positive,Mercedes,,,Germany
161,  Williams: George Russell in Sachir vermisst  ,0.4477272727272727,Positive,Russell,Williams,,Germany
162,  Valtteri Bottas: Ersten Matchball für Vize-WM-Titel nicht verwandelt  ,0.8333333333333333,Positive,Bottas,,,Germany
163,"  Toto Wolff: ""Wir wissen, wie gut Esteban Ocon ist""  ",0.5999999999999999,Positive,Ocon,,,Germany
164,  Entscheidung gefallen: Keine Sondererlaubnis für Sainz' Ferrari-Test  ,-0.3764705882352941,Negative,Sainz,Ferrari,,Germany
165,"  Mercedes-Renningenieur staunt: ""Wie Russell attackierte, war beeindruckend""  ",0.23199999999999993,Positive,Russell,Mercedes,,Germany
166,  George Russell passte nicht mal richtig ins Auto  ,0.532142857142857,Positive,Russell,,,Germany
167,"  Hamilton-Video aus der Quarantäne: ""Eine der härtesten Wochen""  ",0.4799999999999999,Positive,Hamilton,,,Germany
168,"  McLaren: Späte Safety-Car-Phase bremste Carlos Sainz ""auf der Jagd"" aus  ",0.24444444444444446,Positive,Sainz,McLaren,,Germany
169,"  Ricciardo ärgert sich: Hätten Perez in Sachir ""nicht gewinnen lassen dürfen""  ",0.31428571428571433,Positive,Perez,Ricciardo,,Germany
170,  Yuki Tsunoda für Young-Driver-Test mit AlphaTauri bestätigt  ,0.6799999999999999,Positive,AlphaTauri,,,Germany
171,"  Ralf Schumacher: ""Eigenartig"", was bei Ferrari mit Vettel passiert  ",0.1423076923076923,Neutral,Vettel,Ferrari,,Germany
172,  TV-Quoten Sachir 2020: Mehr Zuschauer zu späterer Stunde bei RTL und ORF  ,-0.16875,Negative,,,,Germany
173,"  Lawrence Strolls erster Sieg als Teameigentümer: ""Das war kein Glück""  ",0.573076923076923,Positive,Stroll,,,Germany
174,"  Toto Wolff: ""Ziemlich hässlich, was sich Lewis da eingetreten hat""  ",0.3275,Positive,,,,Germany
175,  F1 unter der Glasglocke: So streng sind die Corona-Regeln zum Saisonfinale  ,-0.29583333333333334,Negative,,,,Germany
176,  George Russell: Eltern mussten ihn am Telefon trösten  ,0.30588235294117644,Positive,Russell,,,Germany
177,"  #SagsMST Bahrain: Ist Lewis Hamilton ""austauschbar"" und ""überbezahlt""?  ",1.0,Positive,Hamilton,,,Germany
178,"  Ralf Schumacher: Bottas muss froh sein, dass er einen Vertrag hat!  ",-0.07307692307692308,Negative,Bottas,,,Germany
179,  Was Lewis Hamiltons Rennstart in Abu Dhabi verhindern könnte  ,0.2904761904761905,Positive,Hamilton,,,Germany
180,"  Aitken-Fehler kostet Russell Sieg: ""Fühle mich nicht dafür verantwortlich""  ",0.25625,Positive,Russell,,,Germany
181,  Sergio Perez überzeugt: Hätte in Bahrain auch gegen Russell gewonnen  ,0.45,Positive,Russell,Perez,,Germany
182,  Wer letzte Nacht am besten geschlafen hat: Sergio Perez  ,0.49999999999999994,Positive,Perez,,,Germany
183,  Falsche Priorisierung im Funksystem: So kam es zum Mercedes-Chaos!  ,0.38833333333333325,Positive,Mercedes,,,Germany
184,"  Carlos Sainz: ""Ein McLaren kann einen Mercedes halt nicht überholen ...""  ",0.1068181818181818,Neutral,Sainz,Mercedes,McLaren,Germany
185,"  Racing Point: Bei der Siegesfeier im Ritz zahlt ""Checo"" den Tequila!  ",0.4833333333333332,Positive,Racing Point,,,Germany
186,"  Valtteri Bottas: Sehe neben Russell aus ""wie der Depp""  ",0.3831914893617021,Positive,Russell,Bottas,,Germany
187,"  Alexander Albon rätselt: ""War die meiste Zeit hinter Sergio ...""  ",0.004761904761904755,Neutral,Albon,,,Germany
188,  Erstes Podium für Ocon: Keine Wette mit Renault-Teamchef Abiteboul  ,0.32837837837837835,Positive,Ocon,Renault,,Germany
189,"  Lance Stroll enttäuscht über P3: ""Hätte heute gewinnen können""  ",0.35185185185185186,Positive,Stroll,,,Germany
190,  Kommissare gnädig: 20.000 Euro Strafe für Mercedes nach Boxenpanne  ,0.2785714285714286,Positive,Mercedes,,,Germany
191,"  Sebastian Vettel zur Ferrari-Form: ""Sieht dann natürlich doof aus""  ",0.152,Positive,Vettel,Ferrari,,Germany
192,  Zwischenfall mit Verstappen: Sportkommissare bestrafen Leclerc  ,-0.5,Negative,Verstappen,Leclerc,,Germany
193,"  Mercedes-Panne versaut Russell-Sieg: ""Kolossalster Fuck-up!""  ",0.11896551724137933,Neutral,Russell,Mercedes,,Germany
194,"  Sergio Perez: ""Das Auto fühlte sich an wie eine Limousine""  ",0.2772727272727273,Positive,Perez,,,Germany
195,  GP Sachir 2020: Fragen & Antworten zum Formel-1-Rennen in Bahrain  ,0.29895833333333327,Positive,,,,Germany
196,  Esteban Ocon: Ricciardo im Qualifying endlich in Reichweite  ,0.5523809523809524,Positive,Ricciardo,Ocon,,Germany
197,"  Fittipaldis F1-Debüt: Magnussen ins Q2 gezogen, jetzt Zielankunft anvisiert  ",0.41904761904761906,Positive,Magnussen,,,Germany
198,"  Valtteri Bottas nach Pole: ""Bin enttäuscht über die Runde""  ",0.5533333333333332,Positive,Bottas,,,Germany
199,  Formel 1 Bahrain 2020: Der Rennsonntag in der Chronologie  ,0.13469387755102036,Neutral,,,,Germany
200,"  Max Verstappen setzt mit Soft auf Risiko: ""Haben nichts zu verlieren""  ",0.36666666666666664,Positive,Verstappen,,,Germany
201,  Romain Grosjean bestätigt: Werde auch in Abu Dhabi fehlen  ,0.438235294117647,Positive,Grosjean,,,Germany
202,"  Steiner über rüde Formel-2-Aktionen von Masepin: ""Da haben wir Arbeit vor uns""  ",-0.040909090909090895,Negative,,,,Germany
203,  Charles Leclercs wilder Ritt über die Kerbs: Linie bei Pierre Gasly abgeschaut!  ,0.3916666666666668,Positive,Gasly,Leclerc,,Germany
204,  Sachir: Überholen doch nicht so einfach wie gedacht?  ,0.14,Neutral,,,,Germany
205,  Toto Wolff schließt Stallorder aus: George Russell darf in Bahrain gewinnen!  ,0.3283018867924528,Positive,Russell,,,Germany
206,"  Carlos Sainz: Russell zeigt, dass nicht nur Hamilton im Mercedes gewinnen kann  ",0.5675675675675674,Positive,Russell,Hamilton,Sainz,Germany
207,  Romain Grosjean: Warum er im Feuer fast nichts sehen konnte  ,0.04999999999999999,Neutral,Grosjean,,,Germany
208,  15 Punkte Abtrieb verloren: Für Pierre Gasly war mehr drin als P9  ,0.30270270270270266,Positive,Gasly,,,Germany
209,  Toto Wolff: Haben von George Russell ein Top-5-Ergebnis erwartet  ,0.41935483870967744,Positive,Russell,,,Germany
210,  Norris verpasst Q3 klar: Schlechtestes Quali-Ergebnis in dieser Saison  ,0.26842105263157895,Positive,Norris,,,Germany
211,  Perez hadert mit Leistungsverlust: Nur wegen altem Motor hinter Leclerc?  ,0.48571428571428565,Positive,Perez,Leclerc,,Germany
212,  Alexander Albon: Im Qualifying plötzlich ein anderes Auto  ,0.14347826086956522,Neutral,Albon,,,Germany
213,"  George Russell: ""Habe im Qualifying einmal den Leerlauf erwischt""  ",0.2565217391304348,Positive,Russell,,,Germany
214,  Charles Leclerc: Mit fast perfekter Runde in die zweite Startreihe  ,0.39655172413793105,Positive,Leclerc,,,Germany
