Index,Title,Sentiment,Class,Entity1,Entity2,Entity3
30,  Why engine caution wasn't the biggest factor in Mercedes defeat  ,0.49090909090909096,Positive,Mercedes,,
31,  Hamilton wants new Mercedes F1 contract before Christmas  ,0.13966942148760328,Neutral,Hamilton,Mercedes,
32,  Mercedes: Power unit deficit worth less than 0.1s per lap  ,0.06734943977591036,Neutral,Mercedes,,
33,"  Albon feels he has ""done everything"" to save Red Bull seat  ",0.24479949874686716,Positive,Albon,Red Bull,
34,"  Abu Dhabi GP defeat ""a slap on the wrist"" for Mercedes  ",0.17142857142857146,Positive,Mercedes,,
35,"  Vettel admits Ferrari farewell an ""emotional day""  ",0.03515325670498084,Neutral,Vettel,,
36,"  Kvyat: No decision from AlphaTauri on F1 future ""a shame""  ",0.15121882086167804,Positive,Kvyat,AlphaTauri,
37,  Verstappen feared Imola tyre failure repeat while leading  ,0.18700980392156863,Positive,Verstappen,,
38,  McLaren retains third after Sainz escapes Abu Dhabi penalty  ,-0.022721088435374164,Negative,Sainz,,
39,"  Hamilton says COVID effects affected him ""massively"" in race  ",0.1847542242703533,Positive,Hamilton,,
40,  2020 F1 Abu Dhabi Grand Prix race results  ,0.1316017316017316,Neutral,,,
41,  Abu Dhabi GP: Verstappen cruises to win ahead of Mercedes duo  ,0.08533536585365852,Neutral,Verstappen,Mercedes,
42,  The Abu Dhabi GP as it happened  ,0.0,Neutral,,,
43,  Mercedes turns down power in Abu Dhabi amid MGU-K concerns  ,0.13347927325200049,Neutral,Mercedes,,
44,  Ricciardo: Alonso run shows F1 needs to bring back 'wow factor'  ,0.12051068722943725,Neutral,Ricciardo,,
45,  Albon plans to “disturb” Mercedes in crucial race for future  ,0.2761264069264069,Positive,Albon,Mercedes,
46,  Leclerc explains Vettel Abu Dhabi helmet tribute gesture  ,0.2609659863945578,Positive,Leclerc,Vettel,
47,"  Stroll ""surviving"" on engine miles as P3 battle heats up  ",0.15015692640692643,Positive,Stroll,,
48,"  Formula 1 Abu Dhabi Grand Prix – How to watch, start time & more  ",0.21531385281385276,Positive,,,
49,  McLaren to sell stake in F1 team to US investors  ,0.03684691745036572,Neutral,,,
50,  Wolff: It’s Hamilton’s call whether he’s fit enough to race  ,0.12545141262246529,Neutral,Hamilton,,
51,  Norris surprised by small gap to Abu Dhabi GP pole  ,0.340038584603802,Positive,Norris,,
52,  Wolff elaborates on Bottas radio message during Q3  ,0.04880952380952381,Neutral,Bottas,,
53,"  Leclerc ""disappointed"" after failing to replicate Q1 pace  ",0.025431034482758616,Neutral,Leclerc,,
54,  Verstappen explains how hand got stuck in qualifying  ,0.16014957264957266,Positive,Verstappen,,
55,  Hamilton “not 100%” after being “bed-ridden” by COVID-19  ,0.09020721925133689,Neutral,Hamilton,,
56,  Hamilton says weeks off made him lose momentum  ,0.10692355889724309,Neutral,Hamilton,,
57,"  2020 F1 Abu Dhabi Grand Prix qualifying results, full grid lineup  ",0.16141528925619833,Positive,,,
58,  Abu Dhabi GP: Verstappen beats Mercedes duo to pole  ,0.10486829836829836,Neutral,Verstappen,Mercedes,
59,  Live: Follow Abu Dhabi GP qualifying as it happens  ,0.0,Neutral,,,
60,"  Vettel admits to ""failure"" in reaching goals with Ferrari  ",0.20678932178932175,Positive,Vettel,,
61,  Abu Dhabi GP: Verstappen leads Albon in FP3  ,0.07922608437314323,Neutral,Verstappen,Albon,
62,"  Wolff: Bottas has ""unconditional support"" from Mercedes  ",0.2804208754208754,Positive,Bottas,Mercedes,
63,  F1 2020's fiercest battle now hinges on a 0.068s swing  ,0.046875,Neutral,,,
64,"  Russell: ""Strange feeling"" learning of return to Williams  ",0.1641125541125541,Positive,Russell,Williams,
65,"  Raikkonen: ""Nothing scary"" about FP2 fire  ",0.20617117117117117,Positive,Raikkonen,,
66,"  Hamilton: Abu Dhabi return like ""first day back to school""  ",0.11410256410256409,Neutral,Hamilton,,
67,  Abu Dhabi GP: Bottas tops FP2 from Hamilton  ,0.13822463768115933,Neutral,Hamilton,Bottas,
68,  2020 F1 Abu Dhabi GP Friday practice results  ,0.12069559228650138,Neutral,,,
69,  Abu Dhabi GP practice as it happened  ,0.0,Neutral,,,
70,  The 2021 design tweaks revealed in Abu Dhabi  ,-0.012187088274044794,Negative,,,
71,"  Williams feels like Russell has ""come home"" in Abu Dhabi GP  ",0.20066326530612247,Positive,Russell,Williams,
72,  Abu Dhabi GP: Verstappen pips Bottas by 0.034s in FP1  ,0.13504545454545455,Neutral,Verstappen,Bottas,
73,"  Vandoorne, de Vries to test for Mercedes in Abu Dhabi  ",0.09572510822510824,Neutral,Mercedes,,
74,  Perez set for grid penalty after engine change in Abu Dhabi  ,0.09981028775146424,Neutral,Perez,,
75,  Haas unable to give Grosjean farewell Formula 1 test  ,0.15939440993788817,Positive,Grosjean,Haas,
76,  Hamilton will race in Abu Dhabi GP after testing negative  ,0.02451737451737452,Neutral,Hamilton,,
77,  Red Bull's Marko sent congratulatory message to Perez  ,0.1921299372462163,Positive,Perez,Red Bull,
78,"  Magnussen ""at peace"" if Abu Dhabi is final F1 weekend  ",0.11736892736892739,Neutral,Magnussen,,
79,  Ferrari explains cause of slow pitstops in 2020 F1 season  ,0.08144268774703557,Neutral,,,
80,  F1 biosphere likely for Australian Grand Prix  ,0.09584215167548499,Neutral,,,
81,  The challenges in getting a new driver up to speed in F1  ,0.07916666666666668,Neutral,,,
82,  Mercedes will do ‘everything we can’ for Hamilton to race  ,0.12001777983920844,Neutral,Hamilton,Mercedes,
83,"  Williams ""missed"" Russell's guidance in Sakhir GP  ",0.1995370370370371,Positive,Russell,Williams,
84,  Vips and Buemi to test for Red Bull F1 in Abu Dhabi  ,0.15506944444444445,Positive,Red Bull,,
85,"  Alonso in, Vettel out: Who can do F1’s young driver test?  ",0.09226661020139282,Neutral,Vettel,,
86,  Sato joins AlphaTauri for Abu Dhabi F1 test  ,0.2452380952380952,Positive,AlphaTauri,,
87,  Perez: My fate shows that F1 doesn't have the best drivers  ,0.19728997289972902,Positive,Perez,,
88,  Ten things we learned from the Sakhir GP  ,0.15917352092352094,Positive,,,
89,"  Wolff: Hamilton, Russell in same team could be ""wild ride""  ",0.010920098420098431,Neutral,Russell,Hamilton,
90,"  Aitken ""gutted"" over Russell missing out on win  ",0.058507371007371,Neutral,Russell,,
91,"  Bottas: ""Very easy"" to criticise my performance against Russell  ",0.05001832844574781,Neutral,Russell,Bottas,
92,  Explained: F1's Abu Dhabi 'biosphere' lockdown plans  ,0.05018540202966434,Neutral,,,
93,  Sakhir Grand Prix - Driver ratings  ,0.1212121212121212,Neutral,,,
94,  Mercedes explains cause of radio glitch in Sakhir GP  ,-0.016903679653679653,Negative,Mercedes,,
95,  The unseen mistake that nearly cost Perez victory in Russell's race  ,0.33295454545454545,Positive,Russell,Perez,
96,  Hamilton in race to be fit for Abu Dhabi GP  ,0.13046536796536798,Neutral,Hamilton,,
97,  Leclerc gets grid penalty for Abu Dhabi GP  ,0.006696428571428571,Neutral,Leclerc,,
98,  Mercedes reveals radio failure led to Russell tyre mix-up  ,0.1331845238095238,Neutral,Russell,Mercedes,
99,  Mercedes fined for Sakhir GP tyre infringement  ,0.018981481481481488,Neutral,Mercedes,,
100,"  Russell: Losing victory twice in Bahrain ""really bloody hurt""  ",0.2186371100164204,Positive,Russell,,
101,  Ocon hopes Sakhir GP podium proves doubters wrong  ,0.057962962962962966,Neutral,Ocon,,
102,"  Mercedes under investigation for Russell, Bottas tyre mix-up  ",0.1407512626262626,Neutral,Russell,Bottas,Mercedes
103,  Stroll thinks pit exit error cost him Sakhir GP win  ,0.0938063063063063,Neutral,Stroll,,
104,  Perez says shock Sakhir GP victory was on merit  ,0.1796969696969697,Positive,Perez,,
105,  Sakhir GP: Perez takes shock win after Mercedes debacle  ,0.08636037657121995,Neutral,Perez,Mercedes,
106,  2020 F1 Sakhir Grand Prix race results  ,0.10570987654320987,Neutral,,,
107,"  Verstappen calls Leclerc's Lap 1 move ""reckless""  ",-0.099,Negative,Verstappen,Leclerc,
108,  The Sakhir GP as it happened  ,0.0,Neutral,,,
109,  F1 downplays chances of chaotic overtaking-fest in Sakhir GP  ,0.06673809523809528,Neutral,,,
110,  Bruised Russell fears fatigue after squeezing into Mercedes  ,0.13650462962962964,Neutral,Russell,Mercedes,
111,  Norris to start Sakhir GP from back with engine penalty  ,0.10615790255496138,Neutral,Norris,,
112,  Mercedes: Bottas and Russell free to race in Sakhir GP  ,0.16067413769026673,Positive,Russell,Bottas,Mercedes
113,  Williams praises Aitken for 'seamlessly' replacing Russell  ,0.211561124061124,Positive,Russell,Williams,
114,  Could Russell match Verstappen’s shock debut victory feat?  ,0.17634297520661157,Positive,Russell,Verstappen,
115,"  Perez ""suffering"" with old engine in Sakhir GP weekend  ",0.062339302112029385,Neutral,Perez,,
116,  Grosjean rules out Abu Dhabi Grand Prix return  ,0.20870927318295737,Positive,Grosjean,,
117,  Albon feels lack of soft tyre running in FP3 led to Q2 exit  ,0.10293154761904764,Neutral,Albon,,
118,"  Ricciardo: Patience will be key to seizing Sakhir ""opportunity""  ",0.20597363945578234,Positive,Ricciardo,,
119,  Russell's speed with Mercedes shows what F1 is missing - Sainz  ,0.2177822177822178,Positive,Russell,Sainz,Mercedes
120,  Gasly frustrated after kerb strike wrecks qualifying hopes  ,0.13172771672771671,Neutral,Gasly,,
121,"  F1 Sakhir Grand Prix – How to watch, start time & more  ",0.17399350649350648,Positive,,,
122,  Ricciardo has “productive” F1 TV meeting over Grosjean crash replays  ,0.24233333333333332,Positive,Ricciardo,Grosjean,
123,"  Norris says Q2 exit down to poor lap, poor timing  ",0.1333489974937343,Neutral,Norris,,
124,  Mercedes willing to give Grosjean farewell F1 test  ,0.09925745550745553,Neutral,Grosjean,Mercedes,
125,  Russell still pressing the wrong buttons in Mercedes car  ,0.08324592074592076,Neutral,Russell,Mercedes,
126,  Leclerc explains decision to abandon Q3 early  ,0.16381132756132757,Positive,Leclerc,,
127,"  Bottas says Sakhir Grand Prix qualifying ""not my best""  ",0.2924630924630925,Positive,Bottas,,
128,"  Russell ""gutted"" to miss out on Sakhir GP pole  ",0.22680952380952374,Positive,Russell,,
129,"  2020 F1 Sakhir Grand Prix qualifying results, full grid lineup  ",0.13040824915824914,Neutral,,,
130,  Sakhir GP: Bottas beats Russell to pole by 0.026s  ,0.08202063740856845,Neutral,Russell,Bottas,
131,  Sakhir Grand Prix qualifying as it happened  ,0.0,Neutral,,,
132,  Sakhir GP: Verstappen heads Bottas in FP3  ,0.0764423076923077,Neutral,Verstappen,Bottas,
133,  Fittipaldi set for back of grid start after PU penalties  ,0.2344155844155844,Positive,,,
134,  Wolff: Russell’s display won’t impact Hamilton contract talks  ,0.22202380952380954,Positive,Russell,Hamilton,
135,"  Mercedes: Sakhir not a shootout between Russell, Bottas for 2022  ",0.2107949134199134,Positive,Russell,Bottas,Mercedes
136,  Grosjean “wouldn't race any car without a halo” after crash  ,0.062326388888888896,Neutral,Grosjean,,
137,"  Sakhir Grand Prix qualifying – Start time, how to watch, channel & more  ",0.06446280991735537,Neutral,,,
138,  Sakhir GP: Latest F1 technical developments from the teams  ,0.2464050442311312,Positive,,,
139,  Sainz: Bahrain outer loop on limit of being ‘dangerous’  ,0.037270114942528736,Neutral,Sainz,,
140,"  Russell says fastest practice laptimes ""deceiving""  ",0.19312820512820508,Positive,Russell,,
141,  2020 F1 Sakhir GP Friday practice results  ,0.21602049910873444,Positive,,,
142,"  Sakhir GP: Russell stays on top in FP2, Bottas 11th  ",0.1040770402437069,Neutral,Russell,Bottas,
143,  Sakhir GP practice as it happened  ,0.0,Neutral,,,
144,  How Bahrain F1 crash showed warrior mentality hasn’t gone away  ,0.15,Positive,,,
145,  Wolff calls for calm after Russell tops Sakhir practice  ,0.16318149022694473,Positive,Russell,,
146,"  ""Impatient"" Aitken made first contact with Williams over F1 seat  ",0.20794294990723566,Positive,Williams,,
147,"  Leclerc ""could bet on a win"" by Russell at Mercedes  ",0.33956701157920677,Positive,Russell,Leclerc,Mercedes
148,  Sakhir GP: Russell quickest in first session with Mercedes  ,0.06163223140495868,Neutral,Russell,Mercedes,
149,"  Verstappen: ""Very tough"" to beat Mercedes even without Hamilton  ",0.0891097016678412,Neutral,Hamilton,Verstappen,Mercedes
150,  Grosjean gives full account of Bahrain fire escape  ,0.07999297239556981,Neutral,Grosjean,,
151,  Perez not keen on F1 reserve role if he can't find race seat  ,0.04473150962512664,Neutral,Perez,,
152,  Grosjean thanks firefighters who ‘saved my life’ in Bahrain  ,0.11729166666666666,Neutral,Grosjean,,
153,  FIA won’t relax impeding rules for Bahrain’s short lap  ,0.05471510471510471,Neutral,,,
154,  FIA modifies barrier hit by Grosjean in Bahrain  ,0.18709842788790154,Positive,Grosjean,,
155,  F1’s medical car heroes tell the story of Grosjean's escape  ,0.10279769217269216,Neutral,Grosjean,,
156,  Bottas unsure whether to laugh or cry over bad F1 luck  ,0.00023280982583308974,Neutral,Bottas,,
157,  Ferrari duo cleared the air after Vettel's radio rant  ,0.08742559523809525,Neutral,Vettel,,
158,"  Grosjean ""won't take risk"" with left hand to make F1 return  ",0.13282784288881855,Neutral,Grosjean,,
159,  Schumacher: I’m ready for Abu Dhabi F1 debut if needed  ,0.2566584766584767,Positive,,,
160,  How overalls and new rules saved Grosjean from the fire  ,0.10791549720121149,Neutral,Grosjean,,
161,  Grosjean discharged from hospital after treatment for burns  ,0.05434027777777778,Neutral,Grosjean,,
162,  Russell replaces Hamilton at Mercedes for Sakhir GP  ,0.16800054112554108,Positive,Russell,Hamilton,Mercedes
163,  Russell frontrunner to replace Hamilton at Mercedes  ,0.17732034632034635,Positive,Russell,Hamilton,Mercedes
164,  Motorsport.com survey: F1 fans want sustainability and diversity  ,0.1644152970922882,Positive,,,
165,"  Hamilton ""devastated"" to miss Sakhir GP after COVID positive  ",0.15217803030303031,Positive,Hamilton,,
166,  Red Bull to delay Albon decision until post-season  ,0.13825757575757575,Neutral,Albon,Red Bull,
167,  Who could replace Hamilton for the Sakhir GP?  ,0.10631720430107526,Neutral,Hamilton,,
168,"  Hamilton tests positive for COVID-19, will miss Sakhir GP  ",0.1111391694725028,Neutral,Hamilton,,
169,  The key questions F1 must ask after Grosjean’s horror crash  ,0.1145175245761183,Neutral,Grosjean,,
170,  Ten things we learned from the Bahrain GP  ,0.05874942896299675,Neutral,,,
171,"  McLaren says Norris marshal incident in Bahrain ""concerning""  ",0.06511544011544013,Neutral,Norris,,
172,  Why Bottas changed three tyres at his last stop in Bahrain  ,0.10352733686067023,Neutral,Bottas,,
173,  How F1's safety advances saved Grosjean  ,0.3271428571428571,Positive,Grosjean,,
174,  Masi: Guardrail damage was inevitable in Grosjean crash  ,0.22704998489882214,Positive,Grosjean,,
175,"  Red Bull ""could have done better"" to beat Hamilton on strategy  ",0.040808823529411786,Neutral,Hamilton,Red Bull,
176,  Bahrain Grand Prix driver ratings  ,0.27738095238095234,Positive,,,
177,  What aftermath photos reveal about Grosjean's escape  ,0.09431486880466475,Neutral,Grosjean,,
178,  Fittipaldi to replace injured Grosjean in Sakhir GP  ,0.3146997929606625,Positive,Grosjean,,
179,  How Verstappen lost the race that followed Grosjean's escape  ,0.26888888888888896,Positive,Verstappen,Grosjean,
180,  F1 defends Grosjean TV coverage after Ricciardo criticism  ,0.15643939393939396,Positive,Ricciardo,Grosjean,
181,  Grosjean convinced halo saved his life in Bahrain crash  ,0.20040218790218792,Positive,Grosjean,,
182,  Perez: Grosjean crash put Bahrain DNF into perspective  ,0.12482269503546098,Neutral,Perez,Grosjean,
183,  F1 doctor explains Grosjean's escape from burning car  ,0.06753363753363753,Neutral,Grosjean,,
184,  Grosjean to remain in hospital overnight after Bahrain crash  ,0.19345238095238101,Positive,Grosjean,,
185,"  Ricciardo disgusted by ""disrespectful"" Grosjean replays  ",-0.0032986111111111133,Neutral,Ricciardo,Grosjean,
186,"  Vettel: F1 guardrails ""not supposed to fail like that""  ",0.1008247194981889,Neutral,Vettel,,
187,"  Kvyat was ""angry"" with Grosjean's move before he saw crash  ",0.08807720057720062,Neutral,Kvyat,Grosjean,
188,"  ""Deep investigation"" will follow Grosjean accident - Brawn  ",0.268939393939394,Positive,Grosjean,,
189,"  Hamilton: ""Horrifying"" Grosjean accident reminder of F1’s danger  ",0.13829059829059828,Neutral,Hamilton,Grosjean,
190,  2020 F1 Bahrain Grand Prix race results  ,0.12383432539682539,Neutral,,,
191,  Bahrain GP: Hamilton wins as Grosjean survives horror accident  ,0.06479882348833958,Neutral,Hamilton,Grosjean,
192,  Grosjean's Bahrain fireball crash in pictures  ,0.08958333333333332,Neutral,Grosjean,,
193,"  Wait for Grosjean to escape Bahrain crash fire ""felt like ages""  ",0.12571839080459773,Neutral,Grosjean,,
194,"  Grosjean ""lucky by being unlucky"" in horror Bahrain GP crash  ",0.1415922619047619,Neutral,Grosjean,,
195,  Grosjean escapes fireball shunt at Bahrain GP  ,0.0215419501133787,Neutral,Grosjean,,
196,  The Bahrain GP as it happened  ,0.0,Neutral,,,
197,  Hamilton wants tyre war return after backlash against 2021 tyres  ,-0.0062184873949579795,Neutral,Hamilton,,
198,  Verstappen 'not disheartened' by gap to Mercedes  ,0.12688172043010754,Neutral,Verstappen,Mercedes,
199,  Ferrari: Leclerc lacking usual confidence in Bahrain  ,0.15490558292282433,Positive,Leclerc,,
200,  F1 drivers insist 2021 tyre concerns not just about lap time  ,0.02808776540919397,Neutral,,,
201,"  Kvyat: ""People are calling me quite a bit"" for 2021 drive  ",0.23334507372968913,Positive,Kvyat,,
202,"  Formula 1 Bahrain Grand Prix – How to watch, start time & more  ",0.1858345358345358,Positive,,,
203,  How a “bad call” left Stroll on wrong tyres in Bahrain qualifying  ,0.06612407862407861,Neutral,Stroll,,
204,"  Albon wants to be ""thorn in Mercedes' strategy"" in Bahrain  ",0.1008212121212121,Neutral,Albon,Mercedes,
205,"  Bottas ""surprised"" by qualifying gap to Hamilton  ",0.04865800865800865,Neutral,Hamilton,Bottas,
206,"  Sainz left ""very angry"" after car failure wrecks race hopes  ",-0.013008432539682542,Negative,Sainz,,
207,"  Vettel: Ferrari must be ""sly as a fox"" to score in Bahrain  ",0.12535327138985675,Neutral,Vettel,,
208,  Bahrain GP: Hamilton storms to pole ahead of Bottas  ,0.06838267664538852,Neutral,Hamilton,Bottas,
209,"  2020 F1 Bahrain Grand Prix qualifying results, full grid lineup  ",0.1358108108108108,Neutral,,,
210,  Bahrain GP qualifying as it happened  ,0.0,Neutral,,,
211,   Bahrain circuit rescues escaped dog that halted F1 practice  ,0.13508771929824562,Neutral,,,
212,  FIA abandons track limits laptime deletions in Bahrain  ,0.02621527777777778,Neutral,,,
213,  Bahrain GP: Verstappen heads Mercedes duo in FP3  ,0.16018518518518518,Positive,Verstappen,Mercedes,
214,  Wolff warns of “fuel and oil war” with new F1 engines  ,0.10836448104740788,Neutral,,,
215,"  Ferrari wants ""soft landing"" for budget cap extended  ",-0.013432797361368778,Negative,,,
216,  The Bahrain sacrifice Mercedes made to find an edge for 2021  ,0.12329545454545454,Neutral,Mercedes,,
217,  Bahrain GP: Spotting the latest F1 technical developments  ,-0.0027470078940667166,Neutral,,,
218,  Hamilton slams Pirelli's proposed 2021 F1 tyres  ,0.1260769459298871,Neutral,Hamilton,,
219,  Albon surprised by lack of grip in practice crash  ,0.14171525753158407,Neutral,Albon,,
220,  2020 F1 Bahrain GP Friday practice results  ,0.12802287581699348,Neutral,,,
221,  Bahrain GP: Hamilton tops FP2 as Albon shunts heavily  ,0.09734996738421395,Neutral,Hamilton,Albon,
222,  Live: Follow Bahrain GP practice as it happens  ,0.0,Neutral,,,
223,  Bahrain GP: Hamilton leads FP1 as Mercedes dominates  ,0.08212962962962964,Neutral,Hamilton,Mercedes,
224,  F1 drivers to sample 2021 Pirelli tyres in Bahrain  ,0.0976022540677713,Neutral,,,
225,  Bahrain GP: Latest F1 technical developments  ,0.13803418803418804,Neutral,,,
226,  Kubica gets another Alfa Romeo F1 practice outing in Bahrain  ,0.10553814002089867,Neutral,Alfa Romeo,,
227,  Drivers prepare for Bahrain’s “bonkers” outer circuit  ,0.15888278388278382,Positive,,,
228,  How COVID-19 played a part in Mercedes' domination  ,0.020000000000000018,Neutral,Mercedes,,
229,  How a set-up error disguised Red Bull F1's front wing progress  ,-0.014643996354522671,Negative,Red Bull,,
230,"  Vettel: Leclerc shouldn't be angry over ""irrelevant"" podium miss  ",0.04423133450911232,Neutral,Leclerc,Vettel,
231,  Magnussen worried he'd trigger crash with leaders in Turkey  ,-0.08452380952380951,Negative,Magnussen,,
232,  Was Leclerc too hard on himself after his late Turkish GP mistake?  ,-0.11749999999999998,Negative,Leclerc,,
233,  Seidl: Sainz showing why Ferrari went after him  ,0.07283272283272282,Neutral,Sainz,,
234,  Ricciardo: Low-grip tracks feel like a robbery for F1 teams  ,0.20218013468013468,Positive,Ricciardo,,
235,"  Hamilton: Unsung heroes deserve knighthood, not me  ",0.21585343228200374,Positive,Hamilton,,
236,"  Ferrari: Vettel podium ""very important"" after recent struggles  ",0.171413874191652,Positive,Vettel,,
237,"  Ocon made ""best"" start of 2020 before Turn 1 tangle in Turkey  ",0.13810846560846562,Neutral,Ocon,,
238,  Gasly: AlphaTauri's pace was “embarrassing” in Turkey  ,-0.037154377880184324,Negative,Gasly,AlphaTauri,
239,  Masi responds to Vettel's remarks on safety car rules  ,0.09786213786213785,Neutral,Vettel,,
240,  Why the Racing Point is no longer just a ‘Pink Mercedes’  ,0.03971036026120773,Neutral,Mercedes,Racing Point,
241,  Nissany to get another FP1 outing in Bahrain  ,0.2510869565217391,Positive,,,
242,"  Verstappen, Leclerc paid for inexperience in Turkey - Brawn  ",0.09135975135975138,Neutral,Verstappen,Leclerc,
243,"  Vettel told Hamilton it was ""special"" to see him make history  ",0.238423645320197,Positive,Hamilton,Vettel,
244,  Ten things we learned from the Turkish GP  ,0.12093991866719134,Neutral,,,
245,  Front wing setting error hurt Verstappen in Turkey  ,0.02819444444444445,Neutral,Verstappen,,
246,  How Stroll's victory hopes were dashed in Turkey  ,0.19,Positive,Stroll,,
247,  Perez: No team orders at Racing Point when leading in Turkey  ,0.1694949494949495,Positive,Perez,Racing Point,
248,  Damaged front wing caused Stroll's loss of pace in Turkey  ,0.07861097236097238,Neutral,Stroll,,
249,"  Vettel has ""zero tolerance"" for Turkey crane incident  ",0.02244444444444445,Neutral,Vettel,,
250,  Turkish Grand Prix driver ratings  ,0.5722222222222223,Positive,,,
251,"  How Hamilton won a race ""that wasn't his to win""  ",0.2563492063492064,Positive,Hamilton,,
252,  Late Leclerc mistake led to radio outburst in Turkish GP  ,0.016362715298885513,Neutral,Leclerc,,
253,"  Norris made ""worst start of everyone's career ever"" in Turkey  ",0.059077380952380965,Neutral,Norris,,
254,  Wolff: Hamilton F1 contract talks may wait until post-season  ,0.23368298368298365,Positive,Hamilton,,
255,  Hamilton nearly 'lost control of emotions' on final lap  ,0.13097943722943725,Neutral,Hamilton,,
256,"  Turkish GP weekend ""not what F1 is about"", says Russell  ",0.20812792649527348,Positive,Russell,,
257,  Verstappen escapes penalty after pitlane line incident  ,0.04197916666666668,Neutral,Verstappen,,
258,"  Bottas spun six times in ""disastrous"" Turkish GP  ",-0.009620334620334611,Neutral,Bottas,,
259,  Wolff: Hamilton has cemented position among sports greats  ,0.16815701659451657,Positive,Hamilton,,
260,"  Turkish GP a ""race to forget"" for Verstappen  ",0.12905982905982905,Neutral,Verstappen,,
261,  Ten moments that decided the 2020 F1 title  ,0.0981060606060606,Neutral,,,
262,  Hamilton: I want to stay in F1 for a chance to change world  ,0.10678880643166361,Neutral,Hamilton,,
263,"  Stroll ""can't understand"" graining issues after Turkey slump  ",-0.015927128427128425,Negative,Stroll,,
264,  Memories of China 2007 made Hamilton reject late pitstop  ,0.11615505706414796,Neutral,Hamilton,,
265,"  Perez: Tyres would have ""exploded"" with one more lap  ",0.11815602836879435,Neutral,Perez,,
266,  Vettel: Slicks could have given Ferrari victory shot  ,0.176219512195122,Positive,Vettel,,
267,  2020 F1 Turkish GP race results  ,0.08447924624395212,Neutral,,,
268,  Turkish GP: Hamilton wins to secure seventh F1 title  ,0.033962058774558795,Neutral,Hamilton,,
269,  Live: Follow the Turkish GP as it happens  ,0.0,Neutral,,,
270,  Norris expects chaotic race start on low-grip Istanbul circuit  ,0.011464646464646459,Neutral,Norris,,
271,"  Stroll: ""Big ask"" to win Turkish GP after shock pole  ",0.10976602762317049,Neutral,Stroll,,
272,  Gasly under threat of pitlane start as FIA investigates aborted PU change  ,-0.000312121212121208,Neutral,Gasly,,
273,"  Formula 1 Turkish Grand Prix – How to watch, start time & more  ",0.20906385281385279,Positive,,,
274,  FIA explains F1 crane incident during Q2 in Turkey  ,-0.013636363636363636,Negative,,,
275,"  Stroll pole not down to luck, says Racing Point  ",0.17667293233082706,Positive,Stroll,Racing Point,
